,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.13,4.71,4.47,5.26,5.04,4.11,1.01,1.39,1.27,0.97,2.21,1.1,0.5,0.92,0.9,0.98
e_1,2.88,1.12,5.47,5.57,5.02,5.85,1.77,1.65,1.12,1.07,1.4,1.38,0.79,1.27,2.88,0.8
d_1,5.57,6.0,1.12,5.21,5.27,4.68,1.42,1.05,3.27,0.91,0.81,0.89,0.73,0.84,1.11,0.47
c_1,6.3,5.55,6.89,1.13,5.93,6.65,1.68,1.78,0.64,2.44,1.08,1.08,0.88,1.24,1.09,0.85
b_1,8.53,5.78,8.2,3.69,1.14,6.97,2.27,2.32,1.36,1.8,1.4,4.24,1.31,1.39,1.47,1.02
a_1,10.78,12.93,10.43,13.48,4.8,1.14,2.49,2.58,2.06,2.83,2.57,2.8,1.61,5.92,1.93,1.49
h_1,17.34,20.55,17.93,18.9,14.7,14.77,1.77,5.06,4.07,3.64,3.41,3.82,4.58,3.72,2.63,2.67
g_1,21.57,20.1,18.98,21.99,21.76,17.72,4.56,1.83,4.23,4.91,4.61,3.96,1.97,5.01,4.77,4.0
d_0,25.07,12.15,47.57,25.2,18.46,32.65,6.59,7.41,2.3,5.43,5.2,4.37,3.36,4.83,3.3,4.23
c_0,27.28,22.72,12.3,72.09,30.76,24.81,8.83,7.49,7.68,2.37,4.43,5.03,3.7,5.21,5.22,2.96
f_0,49.47,21.14,22.87,25.41,29.09,26.97,9.02,5.32,4.48,5.2,2.34,4.76,4.29,5.92,4.89,2.47
b_0,24.25,24.72,21.76,40.79,70.42,28.2,8.06,7.57,6.07,2.63,7.21,2.26,3.84,6.74,4.44,3.7
h_0,39.47,31.81,29.98,39.74,35.68,30.51,20.24,12.66,8.35,6.73,7.39,6.4,8.96,6.41,5.85,5.69
a_0,33.42,36.58,34.98,39.74,60.82,84.59,12.03,8.64,7.26,5.73,8.92,3.84,5.17,2.57,7.28,5.1
e_0,47.56,69.02,31.3,34.83,39.35,35.79,11.07,9.41,10.77,6.25,3.77,8.15,7.2,6.74,2.54,4.42
g_0,55.37,45.16,43.51,55.36,53.52,46.52,10.92,25.31,10.6,9.1,7.81,8.54,4.98,8.32,10.43,10.96
