,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.99,1.44,1.46,1.58,3.06,19.22,29.51,43.53,29.43,32.74,45.72,80.26,73.55,83.67,121.38
f_1,1.01,1.0,1.18,1.07,1.27,1.93,12.2,23.82,25.87,28.24,29.8,30.14,54.35,55.29,63.42,85.58
c_1,0.69,0.84,1.0,1.14,1.65,2.06,17.96,22.56,17.71,21.83,22.6,40.58,57.55,61.07,71.73,94.19
d_1,0.69,0.93,0.88,1.0,1.34,2.05,14.59,18.11,30.53,25.69,36.69,34.52,45.62,51.64,78.05,53.82
b_1,0.63,0.79,0.61,0.75,1.0,2.48,12.1,16.66,16.6,19.07,25.26,22.85,43.72,54.02,59.64,94.1
a_1,0.33,0.52,0.48,0.49,0.4,1.0,9.43,11.42,11.8,13.54,11.95,19.15,36.18,33.34,32.88,39.7
h_1,0.05,0.09,0.06,0.07,0.08,0.1,1.0,1.8,1.63,1.52,1.53,2.21,4.23,4.36,5.76,7.12
g_1,0.03,0.04,0.04,0.05,0.06,0.08,0.55,1.0,0.96,1.13,1.14,2.05,2.24,2.49,3.39,3.93
d_0,0.02,0.04,0.06,0.03,0.06,0.08,0.6,1.03,1.0,1.25,0.95,1.51,2.44,3.07,3.47,3.97
b_0,0.03,0.04,0.05,0.04,0.05,0.07,0.61,0.92,0.81,1.0,0.87,1.62,3.88,2.8,2.88,3.47
c_0,0.03,0.03,0.05,0.03,0.04,0.09,0.67,0.84,1.02,1.23,1.0,1.43,2.54,3.01,3.11,3.14
f_0,0.02,0.03,0.03,0.03,0.04,0.06,0.44,0.51,0.69,0.61,0.67,1.0,1.78,1.98,2.68,1.9
a_0,0.01,0.02,0.02,0.02,0.02,0.02,0.23,0.44,0.44,0.27,0.37,0.55,1.0,1.17,1.0,1.48
h_0,0.01,0.02,0.02,0.02,0.02,0.03,0.24,0.42,0.32,0.35,0.35,0.53,0.9,1.0,0.87,1.4
e_0,0.01,0.02,0.01,0.01,0.02,0.03,0.17,0.29,0.31,0.35,0.34,0.4,1.0,1.1,1.0,1.2
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.14,0.26,0.24,0.29,0.3,0.51,0.68,0.69,0.84,1.0
