,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.3,0.15,0.09,0.09,0.06,0.08,0.36,0.21,0.44,0.35,0.39,,0.58,0.38,0.25,0.48
e_1,0.09,5.49,0.05,0.08,0.08,0.06,0.26,0.19,0.38,0.75,0.37,0.38,0.71,0.41,,0.58
d_1,0.06,0.08,6.36,0.07,0.07,0.09,0.35,0.31,0.68,,0.33,0.41,0.56,0.4,0.37,0.76
c_1,0.08,0.07,0.07,6.73,0.16,0.07,0.29,0.27,,0.45,0.34,0.36,0.67,0.34,0.46,0.58
b_1,0.09,0.08,0.07,0.1,7.45,0.12,0.28,0.33,0.38,0.34,,0.47,0.55,0.29,0.38,0.54
a_1,0.06,0.05,0.06,0.06,0.1,10.99,0.38,0.37,0.44,0.52,0.36,0.4,0.61,,,0.68
h_1,0.38,0.25,0.26,0.22,0.33,0.24,15.15,1.94,1.33,1.33,1.81,1.33,,1.73,1.34,2.94
g_1,0.22,0.22,0.43,0.26,0.34,0.27,0.79,18.29,2.18,1.04,1.93,2.59,1.57,1.33,1.3,
c_0,0.45,0.41,0.4,,0.3,0.28,1.66,1.43,12.74,1.83,3.3,2.59,2.51,1.56,1.66,3.54
d_0,0.42,0.4,,0.79,0.45,0.32,1.76,1.04,1.36,12.46,1.66,1.42,3.87,1.86,2.0,3.19
b_0,0.4,0.46,0.46,0.27,,0.24,1.59,1.73,1.85,2.05,14.33,2.11,3.12,3.27,1.74,2.11
f_0,,0.36,0.35,0.31,0.32,0.61,1.52,1.22,1.65,1.81,2.11,17.29,3.7,,5.16,3.13
h_0,0.92,0.59,0.77,0.56,0.66,0.73,,2.27,2.78,2.07,2.91,2.03,,2.97,3.38,3.77
a_0,0.41,0.3,0.42,0.58,0.29,,1.41,1.04,2.44,2.35,1.31,1.68,3.71,20.62,,3.12
e_0,0.43,,0.45,0.27,,0.41,1.61,2.81,1.55,2.78,1.37,2.06,2.53,2.57,24.23,
g_0,0.4,0.47,0.94,0.78,0.59,0.52,1.8,,2.47,2.83,3.29,3.28,4.65,2.53,3.98,
