,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.8,0.64,0.59,0.98,0.76,0.66,1.01,0.85,0.89,2.29,1.06,1.17,0.95,0.88,0.74,1.02
f_1,1.9,10.69,0.63,0.7,0.51,0.58,0.9,0.89,0.81,0.91,0.99,0.63,0.86,0.91,0.59,0.81
d_1,0.62,0.86,12.23,0.5,0.54,0.62,1.04,1.11,2.64,0.59,1.32,1.12,1.06,1.08,1.27,1.08
c_1,0.62,0.67,0.55,13.02,2.08,0.73,0.8,0.83,0.47,0.9,0.62,0.82,0.86,0.88,0.82,0.75
b_1,0.6,0.69,0.75,0.62,13.37,2.17,0.92,0.9,0.79,0.74,0.59,0.78,1.03,0.72,0.88,0.96
a_1,0.54,0.78,0.95,0.79,0.58,20.49,0.86,0.83,0.99,1.07,1.01,0.92,1.36,0.65,1.09,1.1
h_1,0.71,1.11,0.92,0.81,0.74,0.64,3.17,1.54,0.93,0.8,1.03,1.02,0.68,1.24,1.14,1.59
g_1,0.53,0.61,2.1,0.58,0.69,0.75,1.1,4.35,1.23,0.63,0.95,2.14,1.26,1.19,1.23,0.87
c_0,0.86,0.92,0.99,0.61,0.56,0.68,1.14,1.17,1.96,0.95,2.67,1.11,1.2,1.53,1.3,1.45
d_0,0.62,0.7,0.56,2.48,0.96,0.66,0.93,1.02,0.61,2.03,0.9,1.15,0.95,1.16,1.2,0.99
b_0,0.86,0.89,0.85,0.96,0.54,0.56,1.16,1.02,0.93,1.21,2.44,1.18,1.25,2.85,1.24,1.24
f_0,0.48,0.73,0.96,1.01,0.75,0.7,1.31,1.12,1.07,1.06,1.24,2.66,1.33,1.3,3.69,1.06
h_0,0.84,1.44,0.97,0.63,0.61,0.61,0.73,1.28,1.07,0.87,0.92,1.23,0.86,1.15,1.24,1.67
a_0,0.83,0.82,1.11,0.77,0.78,0.7,1.11,0.98,1.18,0.9,1.0,0.99,1.22,2.28,1.08,1.26
e_0,0.47,0.82,0.92,1.36,0.92,0.62,1.04,0.81,1.0,1.04,1.22,1.09,1.19,1.42,3.02,1.25
g_0,0.67,0.7,1.63,0.69,0.69,0.58,1.15,0.84,1.27,0.81,1.09,1.92,1.03,1.19,1.51,0.96
