,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,119.65,80.44,86.65,84.41,183.8,464.58,10356.21,16680.84,20336.51,21061.42,50089.56,34851.68,156524.13,138331.77,137813.48,210585.41
f_1,79.57,120.82,85.65,130.43,114.44,385.42,9438.32,16333.2,24956.49,29541.29,33725.84,50478.59,129583.05,94250.1,153475.18,195728.09
d_1,71.4,84.82,129.52,90.0,111.21,400.2,10719.57,15490.82,20351.82,46503.14,48047.11,63333.32,152516.06,149653.48,151433.0,198638.06
e_1,89.05,68.3,75.24,137.0,117.91,411.42,9719.18,17554.03,35804.75,26740.61,48176.75,48963.6,146986.09,118115.85,147772.49,229697.56
b_1,61.66,70.26,75.36,76.21,168.91,667.4,9395.39,14507.89,19612.25,27387.57,40033.71,39817.59,140186.09,119407.53,112486.02,184356.59
a_1,48.52,52.43,46.92,48.02,56.57,499.88,5985.4,10950.5,14205.64,19537.59,29651.21,32282.29,89476.34,93158.46,92085.03,126235.42
h_1,20.33,24.25,22.54,22.9,28.13,110.35,3379.09,4888.22,5676.74,7671.78,12345.8,13418.73,33180.87,30914.09,39190.81,64652.77
g_1,16.52,16.91,25.14,17.43,25.05,87.48,2362.49,5101.61,4749.39,7232.86,14218.94,10947.21,28143.51,33061.82,31059.92,43895.91
d_0,23.2,16.01,14.61,16.15,27.28,86.19,2057.75,3375.37,5837.83,4494.68,10170.07,8803.09,27523.1,26302.82,31447.28,44360.96
c_0,15.85,15.84,15.45,17.37,17.7,72.91,2114.85,3200.74,4894.65,7251.68,8925.57,15267.6,29324.58,28595.18,34381.26,42308.8
f_0,12.91,12.63,15.6,12.63,19.83,75.95,1792.46,2652.75,3686.56,5253.05,9685.35,8857.2,24977.01,38013.94,27085.45,34200.04
b_0,14.02,14.05,13.13,14.98,15.43,56.65,1750.15,2633.46,4015.89,4452.13,6633.91,10095.37,25701.97,21857.06,41285.6,35634.69
h_0,9.35,11.05,10.52,10.58,12.8,50.58,1096.38,2447.92,2776.35,3494.69,5941.47,5990.37,15536.97,16496.01,19562.39,29253.87
e_0,9.37,11.51,9.9,8.87,13.96,55.27,1338.22,2005.1,2390.17,3079.66,4781.0,5675.48,18544.57,22258.38,17781.92,25184.13
a_0,8.79,9.04,10.65,10.12,13.88,37.32,1248.05,2072.21,2539.75,3158.1,4551.44,4771.46,16404.94,15516.24,23208.08,25503.03
g_0,8.63,7.67,11.54,8.22,12.48,36.49,960.5,1651.86,2296.22,3468.38,6368.86,5598.97,15445.4,16373.89,16858.75,22399.38
