,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.43,1.53,1.6,1.67,1.9,1.65,0.37,0.33,0.54,0.3,0.31,0.63,0.17,0.3,0.35,0.28
e_1,0.98,0.43,1.82,2.07,2.01,2.09,0.56,0.35,0.57,0.37,0.33,0.43,0.29,0.36,0.66,0.29
d_1,2.01,2.24,0.41,1.76,1.53,1.45,0.43,0.34,0.29,0.94,0.35,0.35,0.26,0.33,0.36,0.15
c_1,1.81,1.55,2.62,0.41,1.79,1.42,0.6,0.57,0.56,0.19,0.34,0.32,0.29,0.35,0.33,0.24
b_1,2.0,1.94,1.83,1.0,0.4,2.37,0.5,0.52,0.63,0.44,0.76,0.34,0.29,0.42,0.34,0.28
a_1,2.74,2.69,2.23,3.2,1.14,0.33,0.68,0.55,0.72,0.47,0.78,0.5,0.35,1.26,0.63,0.41
h_1,2.94,2.7,2.35,3.32,2.43,2.4,0.32,0.63,0.98,0.72,0.84,0.66,0.67,0.52,0.52,0.41
c_0,3.83,3.15,1.61,7.32,3.59,2.59,1.01,0.35,0.78,0.82,0.63,0.71,0.44,0.64,0.6,0.47
g_1,3.43,2.85,3.25,3.49,3.53,2.83,0.76,0.89,0.3,0.74,0.56,0.65,0.35,0.9,0.61,0.8
d_0,3.64,1.74,5.11,3.92,4.07,3.46,1.0,0.75,1.12,0.39,0.62,0.6,0.46,0.63,0.67,0.61
b_0,3.45,3.41,2.7,4.75,5.5,3.39,0.91,0.38,1.11,0.69,0.34,0.71,0.44,0.7,0.68,0.67
f_0,6.68,3.28,2.64,3.14,3.4,3.35,1.08,0.75,0.62,0.72,0.8,0.35,0.58,0.66,0.76,0.32
h_0,3.78,3.94,3.65,4.05,3.74,3.56,1.59,0.94,1.06,0.88,0.71,0.76,0.83,0.79,0.8,0.71
a_0,4.46,3.65,3.8,3.66,5.36,7.43,1.19,0.78,1.11,0.76,0.39,0.72,0.64,0.32,0.81,0.6
e_0,6.07,6.55,3.47,3.87,3.88,4.73,1.17,0.78,1.07,1.02,0.73,0.4,0.61,0.78,0.29,0.62
g_0,5.25,4.16,3.85,4.58,3.7,3.95,0.86,1.04,1.85,0.98,0.87,1.0,0.41,0.9,0.73,0.91
