,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.53,0.96,0.98,1.18,0.93,0.82,1.12,1.71,1.0,1.07,1.2,1.19,1.29,0.91,1.26,0.91
f_1,1.44,1.55,0.94,0.99,0.85,0.71,1.07,1.25,1.03,1.11,1.17,0.89,1.2,0.93,1.13,0.78
d_1,1.02,1.13,1.57,0.88,0.87,0.78,1.17,1.0,1.12,1.76,1.25,1.12,1.29,1.17,1.11,1.04
c_1,0.91,1.04,1.0,1.59,1.52,0.92,1.17,1.06,1.02,0.89,0.95,1.12,1.23,1.01,1.16,0.95
b_1,1.03,1.07,1.06,0.92,1.64,1.43,1.24,1.13,1.01,1.28,0.99,1.17,1.28,0.85,1.16,1.15
a_1,1.17,1.27,1.06,1.06,0.88,1.76,1.21,1.4,1.15,1.15,1.18,1.24,1.54,0.95,1.25,1.07
h_1,1.3,1.52,1.35,1.12,1.06,1.06,1.89,1.46,1.55,1.39,1.41,1.44,1.46,1.22,1.83,1.23
d_0,1.12,1.31,1.08,1.94,1.43,0.91,1.46,1.84,1.29,1.05,1.4,1.44,1.58,1.37,1.54,1.27
g_1,1.25,1.27,1.68,1.27,1.09,1.02,1.33,1.31,1.98,1.6,1.45,1.87,1.45,1.38,1.28,1.35
c_0,1.33,1.5,1.22,1.25,0.98,1.15,1.67,1.7,1.44,1.87,2.28,1.64,1.88,1.6,1.69,1.5
b_0,1.3,1.42,1.36,1.41,1.02,0.96,1.62,1.63,1.46,1.31,1.91,1.57,1.76,2.07,1.69,1.33
f_0,1.17,1.35,1.4,1.39,1.29,1.1,1.57,1.6,1.35,1.41,1.59,1.92,1.66,1.3,1.51,2.07
h_0,1.41,1.64,1.43,1.37,1.17,0.99,1.33,1.51,1.64,1.44,1.52,1.63,1.5,1.3,1.88,1.36
a_0,1.41,1.58,1.39,1.47,1.37,0.81,1.7,1.58,1.59,1.48,1.44,1.68,2.08,1.94,1.68,1.35
g_0,1.28,1.3,1.82,1.45,1.34,1.11,1.42,1.51,1.44,1.49,1.43,1.99,1.64,1.45,1.63,1.76
e_0,1.28,1.57,1.44,1.6,1.31,1.2,1.65,1.53,1.5,1.4,1.56,1.28,1.78,1.46,1.47,1.98
