,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,1.52,1.18,1.22,1.19,1.0,0.43,0.59,0.44,0.4,0.42,0.64,0.29,0.36,0.38,0.32
e_1,0.83,0.66,1.44,1.36,1.32,1.34,0.58,0.61,0.65,0.53,0.55,0.59,0.39,0.52,0.44,0.63
d_1,1.38,1.48,0.64,1.44,1.4,1.09,0.6,0.42,0.67,0.48,0.49,0.41,0.39,0.43,0.26,0.44
c_1,1.36,1.22,1.5,0.64,1.46,1.3,0.62,0.57,0.3,0.61,0.43,0.48,0.4,0.51,0.38,0.42
b_1,1.58,1.3,1.46,0.9,0.62,1.58,0.78,0.68,0.59,0.69,0.8,0.5,0.45,0.48,0.47,0.54
a_1,2.01,1.53,1.73,1.63,0.93,0.57,0.92,0.79,0.64,0.71,0.71,0.62,0.58,0.87,0.49,0.56
h_1,2.36,1.97,1.8,1.92,1.78,1.69,0.57,0.97,0.81,0.67,0.67,0.66,0.74,0.61,0.75,0.68
g_1,2.07,2.28,2.26,2.31,2.14,1.78,0.76,0.55,0.9,0.75,0.73,0.87,0.53,0.73,0.73,0.75
d_0,2.39,1.31,2.94,2.8,2.05,2.08,0.97,1.01,0.61,0.71,0.82,0.72,0.72,0.83,0.72,0.86
c_0,2.87,2.24,1.48,3.0,2.14,1.74,0.95,1.02,1.01,0.6,0.99,0.66,0.79,0.9,0.7,0.84
b_0,2.67,2.05,1.86,3.32,3.2,1.9,1.02,1.08,0.78,0.48,0.58,0.72,0.66,0.91,0.59,0.69
f_0,3.04,2.03,2.48,2.3,2.44,2.18,1.15,0.7,0.97,1.0,0.94,0.57,0.71,0.78,0.48,0.99
h_0,2.84,2.87,2.38,2.54,2.0,1.89,1.51,1.25,0.97,0.79,0.91,0.87,0.87,0.77,0.79,0.66
a_0,3.01,2.71,2.54,2.46,2.96,2.93,1.22,1.09,1.06,0.77,0.61,0.87,0.76,0.56,0.71,0.76
g_0,2.94,2.52,2.99,2.95,2.56,2.41,0.88,1.51,1.11,0.85,0.97,1.02,0.64,0.96,0.86,0.84
e_0,4.21,3.39,2.43,3.0,2.61,2.83,1.22,1.34,0.88,0.83,0.98,0.53,0.94,0.85,0.73,0.55
