,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.74,0.66,0.54,0.72,0.58,0.65,0.95,0.83,1.59,0.68,1.05,0.89,0.88,1.09,0.59,0.96
f_1,1.06,2.8,0.52,0.63,0.46,0.53,0.83,0.74,0.9,0.88,0.35,0.99,0.94,0.74,0.72,0.93
d_1,0.54,0.68,3.03,0.49,0.52,0.51,0.99,1.0,0.33,1.92,0.88,1.41,1.08,1.13,0.98,1.11
c_1,0.57,0.61,0.52,3.13,1.24,0.46,0.85,0.89,0.82,0.32,0.95,0.61,0.91,0.96,1.03,0.81
b_1,0.55,0.6,0.59,0.55,3.61,1.29,0.78,0.98,0.94,0.75,1.04,0.31,1.01,0.78,0.89,0.83
a_1,0.58,0.54,0.71,0.81,0.6,4.97,0.89,0.77,1.03,0.99,1.03,0.86,0.99,0.34,0.91,1.08
h_1,0.64,1.01,0.81,0.73,0.69,0.53,3.2,1.64,1.02,0.98,1.08,1.1,0.7,1.26,1.17,1.46
g_1,0.72,0.59,1.28,0.66,0.64,0.61,1.1,3.53,0.97,1.12,1.68,0.89,1.0,1.17,1.48,0.81
d_0,0.75,0.82,0.35,1.49,0.82,0.64,1.05,0.71,2.17,0.76,1.07,1.03,1.25,1.09,1.23,1.12
c_0,0.83,0.83,1.04,0.39,0.38,0.83,1.12,0.99,1.25,2.54,1.39,2.45,1.26,1.12,1.18,1.35
f_0,0.59,0.46,1.01,0.77,0.77,0.75,1.11,1.24,1.19,0.96,3.0,1.35,1.2,0.96,2.83,1.19
b_0,0.82,0.96,0.78,0.77,0.32,0.62,1.09,1.17,1.24,1.15,1.19,2.87,1.43,2.45,0.99,1.29
h_0,0.74,1.12,1.03,0.73,0.73,0.59,0.51,1.46,0.78,1.21,0.98,0.98,0.71,0.97,1.03,1.55
a_0,0.71,0.73,0.93,0.84,0.77,0.38,1.25,0.91,1.1,1.24,1.27,1.21,1.39,3.29,1.09,0.92
e_0,0.36,0.89,0.96,0.81,0.78,0.52,1.43,1.19,1.23,1.45,1.25,1.4,1.34,0.99,3.79,1.2
g_0,0.66,0.6,1.45,0.72,0.59,0.65,1.18,0.64,0.92,1.05,1.98,1.26,1.31,1.27,1.44,0.68
