,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.76,0.81,1.05,0.72,0.75,0.7,0.95,1.54,0.92,0.93,1.0,1.09,1.01,0.97,0.75,0.97
f_1,1.28,1.79,0.8,0.78,0.68,0.7,0.87,0.98,0.84,0.76,0.97,0.67,0.92,0.89,0.73,0.86
c_1,0.71,0.8,1.87,0.77,1.37,0.81,0.97,0.92,0.65,0.93,0.64,0.93,1.03,0.9,0.97,0.98
d_1,0.8,0.83,0.61,2.04,0.69,0.79,0.99,0.69,1.59,1.03,1.35,1.03,0.99,1.24,1.06,1.15
b_1,0.69,0.91,0.79,0.78,2.23,1.47,0.97,0.77,0.87,0.95,0.62,0.92,0.96,0.77,1.11,0.88
a_1,0.82,0.99,0.89,0.81,0.75,2.71,1.01,0.91,1.06,0.95,1.01,0.9,1.02,0.61,0.93,0.96
h_1,0.82,1.12,0.8,1.03,0.75,0.77,1.82,0.88,0.96,1.44,1.09,1.08,0.78,1.04,1.2,1.28
d_0,0.81,0.88,1.39,0.68,0.97,0.76,0.98,1.32,0.82,1.02,1.05,1.05,1.13,1.09,1.18,0.94
c_0,0.92,0.9,0.77,1.1,0.64,0.86,1.01,1.04,1.49,0.95,1.81,1.04,1.05,1.21,1.15,1.13
g_1,0.73,0.67,0.84,1.35,0.84,0.8,0.94,0.95,1.08,2.25,1.08,1.67,1.04,1.1,1.31,0.91
b_0,0.95,0.82,1.01,0.99,0.65,0.67,1.1,1.1,1.05,1.1,1.62,1.23,1.13,1.89,1.03,1.25
f_0,0.74,0.76,0.9,0.91,1.0,0.9,1.24,1.07,1.02,1.14,1.05,1.74,1.14,1.2,2.03,1.16
h_0,0.85,1.09,0.87,1.01,0.83,0.73,0.9,0.97,1.03,1.2,1.01,0.94,0.93,1.11,1.08,1.25
a_0,0.84,0.85,0.93,1.01,0.9,0.57,1.07,1.16,1.08,1.31,1.07,1.35,1.11,1.93,1.08,1.11
e_0,0.69,0.91,0.9,1.05,0.86,0.81,1.07,0.96,1.0,1.26,1.14,1.13,1.1,1.23,1.93,0.95
g_0,0.73,0.72,0.82,1.35,0.89,0.81,1.1,0.75,1.03,0.85,0.96,1.53,1.12,1.09,1.3,1.01
