,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.29,0.43,0.17,0.2,0.22,0.14,0.44,0.46,0.41,0.35,0.53,0.1,0.35,0.43,0.27,0.42
e_1,0.24,2.3,0.19,0.21,0.19,0.16,0.43,0.45,0.97,0.39,0.47,0.49,0.38,0.6,0.08,0.52
d_1,0.26,0.19,2.42,0.16,0.2,0.16,0.42,1.04,0.1,0.34,0.57,0.48,0.46,0.63,0.4,0.58
c_1,0.22,0.22,0.2,2.45,0.4,0.14,0.35,0.1,0.5,0.35,0.35,0.55,0.36,0.45,0.37,0.37
b_1,0.24,0.22,0.26,0.19,2.51,0.33,0.34,0.42,0.54,0.4,0.09,0.39,0.27,0.53,0.35,0.5
a_1,0.27,0.16,0.23,0.24,0.18,2.93,0.48,0.49,0.47,0.34,0.47,0.4,0.09,0.68,0.42,0.57
h_1,0.5,0.42,0.33,0.4,0.24,0.3,2.81,0.93,0.76,0.81,0.91,0.91,0.91,0.44,0.78,1.15
c_0,0.47,0.41,0.49,0.16,0.31,0.26,0.75,2.17,0.69,0.68,1.6,0.68,1.05,0.98,0.77,0.92
d_0,0.4,0.44,0.14,0.81,0.34,0.26,0.64,0.61,2.21,0.61,0.83,0.79,0.57,0.9,0.75,0.75
g_1,0.28,0.32,0.66,0.41,0.31,0.32,0.51,0.78,0.68,3.03,0.78,1.14,0.76,1.07,0.64,0.41
b_0,0.39,0.43,0.47,0.43,0.1,0.3,0.75,0.9,0.78,0.75,2.4,0.89,1.43,1.1,0.62,0.93
f_0,0.14,0.37,0.39,0.49,0.43,0.36,0.83,0.88,0.74,0.64,0.76,2.45,0.64,1.03,1.61,1.06
a_0,0.53,0.35,0.47,0.32,0.39,0.13,0.92,1.04,1.04,0.64,0.81,0.73,2.64,1.23,0.73,1.0
h_0,0.5,0.4,0.42,0.38,0.28,0.36,0.25,0.91,0.9,0.74,0.92,0.77,0.67,0.42,0.79,1.05
e_0,0.45,0.12,0.34,0.38,0.49,0.32,0.97,1.13,0.72,0.78,0.9,0.89,0.76,1.41,2.96,1.08
g_0,0.33,0.36,0.58,0.46,0.28,0.34,0.84,0.83,0.65,0.32,0.85,1.17,0.62,0.78,0.71,0.38
