,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,14.89,0.75,0.61,0.41,0.52,0.67,1.12,1.01,2.74,0.47,1.17,1.09,1.04,0.96,1.26,1.19
f_1,0.61,13.14,1.61,0.65,0.54,0.63,0.74,0.83,0.65,0.83,0.79,0.46,0.89,1.02,0.55,0.77
e_1,0.56,0.65,13.0,1.0,0.64,0.6,0.89,0.76,0.95,2.3,0.99,1.01,0.97,0.79,0.61,1.03
c_1,0.56,0.61,0.51,14.12,1.88,0.57,0.96,0.8,0.45,0.86,0.81,0.92,0.87,1.01,0.92,0.86
b_1,0.65,0.67,0.61,0.64,14.44,1.58,0.76,0.87,0.67,0.97,0.52,0.99,0.78,1.12,0.9,0.96
a_1,0.86,0.69,0.51,0.71,0.62,22.68,0.8,1.21,0.91,0.87,1.03,1.0,0.51,1.26,0.91,0.75
h_1,0.88,1.1,0.63,0.72,0.67,0.63,4.16,1.4,0.91,0.81,1.23,1.1,1.18,0.65,1.37,1.63
g_1,1.62,0.57,0.75,0.69,0.65,0.59,1.04,4.75,1.1,0.75,1.24,1.9,0.98,0.85,1.35,0.59
c_0,0.93,0.94,0.71,0.52,0.54,0.76,1.34,1.13,2.37,1.16,2.92,1.19,1.62,1.04,1.37,1.14
d_0,0.42,0.6,0.62,3.1,0.74,0.65,0.99,0.93,0.68,2.56,1.09,1.14,1.03,1.16,1.09,1.23
b_0,0.75,0.9,0.66,0.87,0.44,0.6,1.25,1.1,1.11,1.23,2.99,1.42,2.75,1.29,1.44,1.52
f_0,1.02,0.49,0.57,0.82,0.72,0.68,1.43,1.09,1.24,1.04,1.32,2.68,1.35,1.09,2.91,1.47
a_0,0.8,0.86,0.66,0.97,0.67,0.38,1.25,1.23,1.0,1.12,1.02,1.48,3.43,1.46,1.6,1.35
h_0,0.85,1.31,0.77,0.61,0.6,0.66,0.73,1.63,1.14,1.07,1.02,0.89,1.17,0.67,1.08,1.22
e_0,0.83,0.84,0.48,0.78,0.57,0.76,1.57,1.39,1.23,0.94,1.45,1.27,1.73,1.39,3.57,1.24
g_0,1.42,0.67,0.62,0.76,0.57,0.75,1.25,0.69,1.31,0.83,1.04,2.08,1.16,0.95,1.51,1.05
