,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.94,0.39,0.43,0.44,0.37,0.26,0.31,0.28,0.3,0.39,0.23,0.24,0.19,0.25,0.12,0.2
f_1,0.71,0.94,0.37,0.42,0.31,0.27,0.25,0.23,0.22,0.23,0.14,0.22,0.19,0.2,0.14,0.19
d_1,0.41,0.46,0.94,0.32,0.37,0.29,0.31,0.25,0.42,0.19,0.24,0.26,0.19,0.19,0.22,0.18
c_1,0.44,0.4,0.47,0.94,0.6,0.28,0.32,0.25,0.11,0.22,0.25,0.19,0.2,0.22,0.18,0.2
b_1,0.45,0.54,0.43,0.36,0.94,0.48,0.33,0.28,0.26,0.26,0.27,0.17,0.16,0.28,0.16,0.22
a_1,0.61,0.52,0.49,0.4,0.32,0.94,0.35,0.31,0.31,0.34,0.3,0.29,0.18,0.32,0.26,0.25
h_1,0.62,0.95,0.64,0.6,0.5,0.4,0.74,0.53,0.39,0.37,0.33,0.4,0.32,0.31,0.3,0.4
g_1,0.68,0.69,0.96,0.7,0.57,0.37,0.36,0.75,0.4,0.34,0.51,0.37,0.3,0.38,0.23,0.29
c_0,0.63,0.85,0.79,0.65,0.48,0.47,0.51,0.44,0.65,0.44,0.41,0.78,0.4,0.45,0.38,0.42
d_0,0.66,0.82,0.52,1.09,0.62,0.34,0.51,0.51,0.4,0.64,0.38,0.42,0.38,0.48,0.34,0.33
f_0,0.67,0.62,0.88,0.79,0.56,0.46,0.55,0.43,0.5,0.52,0.66,0.42,0.36,0.43,0.63,0.35
b_0,0.69,0.88,0.8,0.87,0.4,0.41,0.51,0.5,0.38,0.47,0.49,0.66,0.6,0.45,0.34,0.41
a_0,0.78,1.01,0.9,0.75,0.66,0.28,0.6,0.5,0.45,0.48,0.45,0.37,0.65,0.48,0.32,0.41
h_0,0.81,1.19,0.98,0.65,0.58,0.49,0.4,0.62,0.46,0.42,0.42,0.4,0.34,0.35,0.29,0.46
e_0,0.63,1.05,0.83,0.8,0.84,0.46,0.55,0.55,0.53,0.51,0.4,0.54,0.46,0.51,0.64,0.36
g_0,0.86,0.76,1.28,0.8,0.66,0.45,0.51,0.38,0.47,0.46,0.66,0.5,0.4,0.45,0.4,0.35
