,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,2.01,3.12,3.34,3.17,2.83,1.34,1.24,1.35,0.91,0.94,1.11,0.72,0.85,0.96,1.92
f_1,3.85,1.07,2.97,3.5,2.6,2.99,0.83,1.13,1.02,0.86,0.9,1.94,0.54,0.82,0.57,0.8
d_1,3.69,3.82,1.07,3.69,2.97,2.95,1.44,0.9,2.22,1.27,0.95,0.94,0.78,1.04,0.55,0.83
c_1,3.55,3.99,3.74,1.07,4.48,2.77,1.41,1.29,0.66,1.78,0.86,0.97,0.83,0.77,0.74,0.86
b_1,4.01,4.83,4.91,2.29,1.07,4.06,1.79,1.79,1.03,1.43,2.96,1.29,0.87,1.15,0.93,0.99
a_1,6.26,5.17,4.82,6.46,3.34,1.07,2.8,1.94,1.67,1.76,2.07,1.68,1.46,,1.22,1.36
h_1,6.99,9.17,6.46,6.82,6.92,5.41,1.37,2.72,2.35,2.05,1.92,2.13,3.54,1.89,1.8,1.46
g_1,8.63,9.62,9.0,8.58,6.7,7.0,2.49,1.38,2.74,2.31,2.18,2.42,1.69,2.35,2.41,2.09
d_0,4.94,10.02,15.92,9.2,10.77,7.35,3.02,3.74,1.65,2.33,2.61,2.12,2.57,2.01,2.38,1.69
c_0,9.1,10.03,5.5,15.63,8.23,7.49,3.55,4.58,3.09,1.62,3.46,2.25,2.66,2.2,2.33,2.18
b_0,9.8,9.24,9.62,14.92,15.8,7.36,3.46,3.73,2.72,1.58,1.64,2.65,2.14,2.91,1.69,2.29
f_0,9.09,22.16,9.81,9.07,8.81,6.76,4.14,2.67,3.74,3.7,2.91,1.61,2.21,3.13,1.74,2.86
h_0,13.18,14.46,10.56,11.84,11.15,9.02,5.84,4.61,3.42,3.07,3.43,3.16,5.14,2.79,3.03,2.44
a_0,12.71,13.65,11.6,15.74,13.35,,5.22,4.99,3.57,3.83,2.12,3.36,3.22,1.67,2.8,2.64
g_0,11.45,17.21,15.46,15.44,18.68,12.6,5.16,6.71,4.5,3.61,3.79,3.89,2.16,3.4,3.99,2.89
e_0,21.21,16.37,15.25,12.51,13.48,14.22,6.44,5.55,4.84,3.59,4.68,2.2,3.38,4.73,2.62,1.73
