,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.34,1.03,0.9,0.83,0.87,0.83,1.08,0.95,0.87,0.99,0.81,0.84,0.99,1.0,0.82
e_1,0.74,1.0,1.17,0.99,1.15,0.95,1.1,1.01,1.5,1.1,1.06,1.21,1.09,1.03,1.13,1.33
c_1,0.97,0.86,1.0,1.08,1.37,0.89,1.16,1.01,0.7,0.82,0.88,0.97,0.95,0.84,0.99,0.98
d_1,1.12,1.01,0.93,1.0,0.95,1.06,0.96,0.78,0.89,1.25,0.96,1.01,0.9,1.07,0.85,0.95
b_1,1.2,0.87,0.73,1.06,1.0,1.46,1.13,1.14,1.1,1.16,1.11,1.0,1.15,0.89,1.14,0.88
a_1,1.14,1.06,1.14,0.94,0.68,1.0,1.05,1.13,1.17,1.03,0.92,1.08,1.28,1.07,1.04,0.88
h_1,1.19,0.94,0.9,1.03,0.88,0.94,1.0,1.14,0.91,1.03,1.06,0.81,1.1,0.94,1.17,1.0
g_1,0.93,1.02,0.96,1.25,0.93,0.93,0.86,1.0,0.95,0.94,0.97,1.14,0.85,0.97,0.94,1.22
d_0,0.99,0.67,1.4,1.12,0.98,0.77,1.15,1.09,1.0,0.83,1.07,1.06,1.13,1.18,1.04,1.15
c_0,1.15,0.91,1.31,0.8,0.81,0.98,0.91,1.09,1.23,1.0,1.46,1.04,1.1,1.28,1.16,1.2
b_0,1.04,0.94,1.21,1.02,0.9,1.04,0.99,1.02,0.9,0.65,1.0,0.94,1.0,1.3,0.87,0.98
f_0,1.06,0.83,1.03,1.0,0.9,0.93,1.13,0.87,1.04,0.97,1.04,1.0,1.17,1.05,0.86,1.47
h_0,1.21,0.92,1.01,1.1,0.93,0.81,0.93,1.19,0.88,0.91,0.97,0.84,1.0,0.97,1.08,0.9
a_0,1.01,0.93,1.16,1.0,1.22,1.1,1.02,1.05,0.83,0.75,0.78,0.95,0.95,1.0,0.94,1.18
g_0,1.01,0.93,0.98,1.14,0.85,0.87,0.86,1.01,0.9,0.84,1.08,1.18,0.93,1.03,1.0,1.04
e_0,1.31,0.69,1.07,0.99,1.19,1.16,0.99,0.82,0.92,0.88,1.02,0.7,1.1,0.78,0.96,1.0
