,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.96,0.88,0.57,0.59,0.45,0.36,0.4,0.34,0.32,0.4,0.33,0.26,0.32,0.26,0.28,0.2
e_1,0.65,0.96,0.52,0.72,0.51,0.38,0.44,0.37,0.37,0.59,0.37,0.35,0.36,0.3,0.29,0.21
d_1,0.72,0.69,0.96,0.52,0.46,0.37,0.44,0.35,0.59,0.33,0.44,0.37,0.37,0.3,0.29,0.25
c_1,0.66,0.6,0.69,0.95,0.83,0.41,0.44,0.37,0.3,0.33,0.3,0.36,0.36,0.3,0.29,0.25
b_1,0.73,0.68,0.77,0.54,0.95,0.73,0.46,0.38,0.43,0.39,0.35,0.35,0.4,0.26,0.38,0.28
a_1,0.82,0.79,0.84,0.66,0.53,0.94,0.52,0.42,0.48,0.41,0.5,0.4,0.47,0.28,0.42,0.33
h_1,1.13,0.95,0.99,0.87,0.76,0.55,0.81,0.63,0.52,0.53,0.53,0.52,0.5,0.37,0.54,0.38
g_1,1.03,0.95,1.22,0.93,0.82,0.63,0.59,0.8,0.57,0.49,0.54,0.66,0.51,0.41,0.39,0.46
c_0,1.22,1.1,0.89,0.93,0.71,0.61,0.76,0.61,0.76,0.62,0.9,0.62,0.63,0.55,0.52,0.46
d_0,1.04,0.88,0.87,1.44,0.91,0.63,0.66,0.58,0.5,0.74,0.53,0.59,0.57,0.37,0.44,0.4
b_0,1.24,1.12,0.87,1.06,0.7,0.51,0.77,0.64,0.55,0.69,0.74,0.61,0.66,0.79,0.53,0.47
f_0,1.07,0.94,1.11,1.06,0.92,0.76,0.78,0.58,0.65,0.65,0.63,0.75,0.58,0.48,0.44,0.73
h_0,1.44,1.14,1.12,1.06,0.76,0.68,0.7,0.75,0.66,0.64,0.61,0.58,0.54,0.49,0.63,0.41
a_0,1.3,1.11,1.14,1.1,1.04,0.65,0.86,0.66,0.66,0.75,0.5,0.68,0.67,0.68,0.55,0.52
g_0,1.2,1.14,1.54,1.12,0.82,0.65,0.73,0.66,0.76,0.69,0.7,0.88,0.67,0.54,0.53,0.48
e_0,1.39,1.12,1.21,1.13,0.93,0.82,0.78,0.59,0.64,0.73,0.72,0.6,0.72,0.53,0.6,0.69
