,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,11.62,1.81,0.56,0.71,0.53,0.49,0.9,0.73,0.93,0.74,0.92,0.49,0.83,0.86,0.69,0.82
e_1,0.63,12.33,0.6,0.93,0.6,0.63,0.88,0.89,2.38,0.74,1.01,1.01,1.14,0.96,0.68,0.97
d_1,0.61,0.54,16.62,0.42,0.6,0.59,1.04,1.18,0.47,2.49,1.19,1.12,1.0,1.15,1.03,1.25
c_1,0.65,0.45,0.68,14.01,1.78,0.61,0.77,0.91,0.87,0.44,0.58,0.88,0.83,0.99,0.88,0.81
b_1,0.58,0.6,0.6,0.58,15.65,2.07,0.89,0.85,0.78,0.82,0.57,0.9,0.84,0.71,0.95,0.85
a_1,0.86,0.58,0.76,0.82,0.52,20.5,1.03,0.88,1.02,1.01,1.05,1.12,1.17,0.49,1.2,0.72
h_1,1.47,0.67,0.89,0.59,0.68,0.72,3.88,1.2,0.86,1.05,1.02,0.98,0.76,0.92,1.05,1.68
g_1,0.61,0.54,1.53,0.71,0.77,0.67,1.07,4.75,0.6,1.17,1.22,2.2,1.37,1.15,1.16,0.89
d_0,0.85,0.67,0.41,2.35,0.72,0.66,0.91,1.03,1.97,0.52,1.02,1.0,1.33,1.14,1.2,1.09
c_0,0.84,0.71,0.9,0.52,0.53,0.63,1.17,1.02,1.11,2.9,3.56,1.18,1.24,1.49,1.2,1.45
b_0,0.96,0.54,0.89,0.83,0.55,0.49,1.17,0.94,0.85,1.33,2.95,1.06,1.3,3.1,1.39,1.32
f_0,0.69,0.47,0.85,0.74,0.72,0.81,1.31,1.24,1.01,1.37,1.53,3.74,1.41,1.35,3.42,1.4
h_0,1.26,0.68,0.88,0.88,0.68,0.51,0.66,1.59,1.0,1.02,1.05,1.22,0.74,1.17,1.42,1.6
a_0,0.87,0.71,0.69,0.89,0.82,0.5,1.37,1.02,1.02,1.07,1.28,1.24,1.41,3.02,1.41,1.5
e_0,1.28,0.55,0.82,0.92,0.51,0.69,1.46,1.16,0.97,1.31,1.28,1.3,1.34,1.28,3.58,1.26
g_0,0.49,0.58,1.71,0.73,0.69,0.78,1.0,0.97,0.72,1.34,1.17,2.36,1.03,0.95,1.32,1.01
