,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,15.12,1.24,0.55,0.56,0.44,0.42,0.76,0.93,0.74,0.62,0.86,0.38,0.95,0.87,0.83,0.69
e_1,0.49,17.19,0.42,0.65,0.63,0.6,0.71,0.77,2.14,0.9,0.99,0.98,0.71,0.87,0.93,0.38
d_1,0.6,0.37,20.64,0.42,0.47,0.55,1.05,0.99,0.34,2.15,1.31,1.15,1.1,0.96,0.92,1.08
c_1,0.53,0.51,0.43,19.49,1.19,0.48,0.93,0.75,0.79,0.36,0.57,1.13,0.84,1.09,0.78,0.85
b_1,0.49,0.51,0.44,0.6,22.03,1.27,0.89,0.7,0.81,0.75,0.26,0.73,1.14,0.56,1.07,0.96
a_1,0.62,0.42,0.68,0.47,0.54,31.26,0.89,0.92,0.84,0.85,0.97,1.0,1.26,0.47,0.84,0.93
h_1,1.11,0.61,0.78,0.62,0.53,0.46,5.38,1.61,1.1,1.34,1.14,0.97,0.6,1.14,1.87,1.2
g_1,0.55,0.57,1.31,0.73,0.58,0.62,1.12,6.61,1.0,1.08,1.16,1.94,1.09,1.33,0.7,1.14
d_0,0.72,0.55,0.36,1.85,0.59,0.64,1.11,0.76,3.31,0.85,1.36,1.1,0.98,1.04,1.01,1.8
c_0,0.84,0.55,1.0,0.4,0.39,0.61,1.28,1.27,1.08,3.52,3.19,1.0,1.66,1.63,1.63,1.87
b_0,0.86,0.53,0.85,0.72,0.26,0.55,1.35,1.38,1.24,1.23,3.99,1.16,1.27,2.73,1.48,1.52
f_0,0.32,0.43,1.07,0.79,0.67,0.76,1.27,0.99,1.39,1.83,1.43,4.42,1.22,1.15,1.78,3.25
h_0,1.17,0.63,0.79,0.72,0.68,0.56,0.6,1.56,1.0,1.06,1.25,1.1,0.74,1.31,1.93,1.17
a_0,1.06,0.5,0.83,0.59,0.65,0.29,1.44,1.13,1.1,1.08,1.24,1.5,1.43,5.12,1.4,1.91
g_0,0.54,0.51,1.48,0.72,0.63,0.64,0.82,0.71,0.93,1.23,1.48,2.33,1.17,1.12,0.85,1.26
e_0,0.99,0.31,0.76,0.84,0.59,0.62,1.28,1.22,1.33,1.22,1.55,1.13,1.79,1.91,1.37,5.78
