,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.17,0.26,0.48,0.5,0.49,0.44,0.14,0.15,0.12,0.1,0.12,0.1,0.07,0.1,0.13,0.08
f_1,0.44,0.17,0.42,0.46,0.44,0.41,0.1,0.15,0.11,0.08,0.12,0.09,0.05,0.07,0.08,0.08
d_1,0.48,0.47,0.15,0.45,0.49,0.43,0.11,0.08,0.17,0.09,0.09,0.09,0.06,0.08,0.08,0.04
c_1,0.36,0.49,0.57,0.14,0.43,0.41,0.16,0.13,0.05,0.14,0.1,0.09,0.06,0.1,0.08,0.06
b_1,0.44,0.53,0.49,0.27,0.13,0.46,0.14,0.15,0.09,0.14,0.1,0.16,0.07,0.1,0.09,0.07
a_1,0.5,0.54,0.43,0.5,0.25,0.09,0.14,0.13,0.11,0.09,0.1,0.12,0.08,0.22,0.08,0.07
h_1,0.39,0.44,0.39,0.38,0.39,0.39,0.06,0.13,0.1,0.07,0.08,0.08,0.06,0.07,0.07,0.05
g_1,0.39,0.43,0.4,0.43,0.38,0.37,0.09,0.05,0.1,0.08,0.08,0.08,0.04,0.08,0.07,0.06
d_0,0.24,0.4,0.64,0.45,0.4,0.38,0.14,0.15,0.05,0.08,0.09,0.09,0.07,0.09,0.1,0.08
c_0,0.44,0.49,0.22,0.64,0.4,0.38,0.12,0.11,0.14,0.05,0.08,0.1,0.06,0.08,0.09,0.06
f_0,0.38,0.54,0.41,0.41,0.34,0.34,0.11,0.07,0.09,0.08,0.05,0.07,0.05,0.07,0.09,0.04
b_0,0.4,0.42,0.32,0.56,0.49,0.37,0.11,0.11,0.09,0.04,0.08,0.05,0.06,0.09,0.08,0.06
h_0,0.39,0.4,0.39,0.39,0.37,0.32,0.16,0.1,0.09,0.08,0.07,0.08,0.08,0.06,0.08,0.05
a_0,0.41,0.37,0.38,0.44,0.48,0.43,0.11,0.11,0.1,0.07,0.09,0.04,0.06,0.04,0.07,0.06
e_0,0.44,0.62,0.38,0.42,0.36,0.44,0.1,0.09,0.08,0.07,0.04,0.07,0.05,0.06,0.03,0.05
g_0,0.38,0.44,0.39,0.4,0.4,0.39,0.09,0.12,0.09,0.07,0.08,0.07,0.04,0.06,0.07,0.06
