,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.78,1.33,0.71,0.77,0.75,0.75,0.95,0.9,1.07,0.89,1.03,0.66,0.87,0.89,0.63,0.8
e_1,0.84,1.83,0.74,1.01,0.8,0.65,0.98,0.86,1.57,0.95,0.98,0.93,0.95,0.97,0.74,0.97
d_1,0.9,0.76,2.07,0.6,0.71,0.7,1.02,1.64,0.62,0.97,1.21,1.05,1.16,1.07,1.1,1.14
c_1,0.76,0.71,0.77,2.03,1.41,0.8,0.86,0.67,0.88,0.86,0.66,1.01,0.9,0.99,0.99,0.82
b_1,0.79,0.73,0.82,0.85,2.06,1.43,0.87,0.81,0.81,0.94,0.7,1.0,0.73,1.03,1.06,1.02
a_1,0.94,0.77,0.88,0.83,0.74,2.71,1.05,0.99,0.91,1.01,1.05,1.02,0.86,1.06,1.08,1.02
h_1,1.15,0.89,0.91,0.83,0.7,0.76,1.78,0.98,0.98,1.26,1.12,1.07,1.13,0.85,1.06,1.29
c_0,0.94,0.86,1.06,0.73,0.65,0.79,1.13,1.49,0.9,1.14,1.76,1.03,1.48,1.04,1.11,1.22
d_0,0.84,0.85,0.68,1.52,0.9,0.71,0.97,0.73,1.43,1.0,0.95,1.02,1.06,1.0,0.94,1.03
g_1,0.82,0.69,1.33,0.84,0.82,0.83,1.07,1.1,0.81,2.05,1.03,1.63,1.03,0.99,1.17,0.97
b_0,0.89,0.92,1.0,0.93,0.62,0.72,1.1,1.12,1.09,1.13,1.56,1.1,1.92,1.07,0.99,1.09
f_0,0.83,0.7,0.98,0.96,0.94,0.87,1.07,0.99,0.98,1.01,0.96,1.81,1.01,1.1,2.34,1.17
a_0,0.99,0.84,1.0,0.84,0.7,0.69,1.15,1.1,1.02,0.97,1.2,1.01,1.87,1.19,1.06,1.24
h_0,1.07,0.88,1.0,0.91,0.77,0.85,0.72,1.02,0.99,1.23,1.11,0.99,1.0,0.8,1.16,1.29
e_0,0.97,0.59,0.89,0.93,0.95,0.96,1.07,1.02,0.95,1.24,1.13,1.07,1.05,1.29,2.11,1.2
g_0,0.84,0.76,1.37,0.84,0.76,0.78,1.08,1.13,0.89,0.8,1.01,1.36,1.03,1.04,1.36,0.88
