,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.12,2.37,4.83,4.51,4.55,4.42,1.44,1.4,0.95,0.84,0.94,1.09,0.67,0.75,0.88,1.99
f_1,3.94,1.12,4.06,4.66,4.43,4.1,0.96,1.34,0.89,1.04,0.9,1.65,0.42,0.7,0.84,0.87
d_1,5.27,5.4,1.12,4.51,4.67,5.09,1.26,0.87,2.5,0.84,0.94,0.82,0.73,0.4,0.91,0.92
c_1,3.91,5.05,6.94,1.13,4.8,4.09,1.42,1.28,0.57,1.62,0.88,0.94,0.73,0.74,0.85,0.81
b_1,5.39,6.91,5.18,3.03,1.13,4.92,1.65,2.07,1.15,1.78,2.04,1.14,0.89,0.83,1.25,1.13
a_1,9.02,9.33,8.36,8.06,4.27,1.14,2.81,2.93,2.0,1.59,1.8,1.51,1.2,1.31,2.72,1.49
h_1,13.67,15.1,13.27,15.27,16.24,12.65,1.71,3.93,3.27,2.69,2.67,3.22,3.01,2.1,2.6,2.29
g_1,18.18,19.21,16.11,19.11,21.53,16.1,4.07,1.77,4.07,3.79,3.8,3.6,2.13,4.26,4.32,3.59
d_0,10.73,16.79,31.46,19.94,18.4,20.29,6.29,6.99,2.26,3.84,3.95,4.36,2.97,3.06,3.49,4.02
c_0,23.81,21.14,10.59,34.31,18.75,25.3,6.57,5.24,5.87,2.21,5.79,3.71,3.36,3.46,3.43,3.71
b_0,24.6,22.04,18.98,34.68,37.27,24.05,6.57,6.85,4.91,2.59,2.32,4.64,3.74,3.56,4.17,4.29
f_0,22.36,45.48,20.39,29.01,24.22,23.47,5.53,4.07,4.91,4.32,5.6,2.29,4.62,2.48,5.09,4.07
h_0,28.6,33.9,26.01,28.24,25.5,25.63,12.57,9.11,5.82,6.57,5.48,5.1,5.66,4.26,4.81,5.32
g_0,39.26,40.83,37.53,33.59,33.41,33.02,7.21,14.12,7.72,6.18,5.99,5.72,4.02,7.43,7.36,5.79
a_0,39.26,39.92,34.77,33.95,44.72,59.03,9.26,8.54,7.72,6.12,3.41,5.6,5.18,6.23,2.58,6.73
e_0,49.2,54.44,34.77,39.89,35.02,30.92,9.78,9.35,8.48,7.63,7.55,3.55,5.38,6.02,8.65,2.68
