,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.32,1.0,0.86,0.76,0.73,0.56,0.7,0.62,0.54,0.6,0.49,0.5,0.56,0.55,0.44
e_1,0.76,1.0,1.16,0.96,1.08,0.81,0.76,0.67,0.99,0.7,0.65,0.75,0.66,0.59,0.63,0.73
c_1,1.0,0.87,1.0,1.06,1.3,0.77,0.81,0.68,0.47,0.53,0.55,0.61,0.58,0.49,0.56,0.54
d_1,1.17,1.03,0.94,1.0,0.91,0.92,0.68,0.53,0.6,0.81,0.61,0.64,0.56,0.63,0.49,0.54
b_1,1.31,0.93,0.77,1.1,1.0,1.33,0.83,0.81,0.78,0.79,0.74,0.66,0.74,0.55,0.68,0.52
a_1,1.37,1.24,1.33,1.08,0.75,1.0,0.85,0.88,0.91,0.77,0.67,0.78,0.91,0.73,0.68,0.57
h_1,1.76,1.37,1.29,1.46,1.19,1.16,1.0,1.09,0.87,0.95,0.95,0.73,0.97,0.79,0.94,0.8
g_1,1.43,1.55,1.43,1.84,1.32,1.19,0.9,1.0,0.95,0.91,0.91,1.07,0.78,0.85,0.8,1.01
d_0,1.53,1.01,2.09,1.65,1.38,0.99,1.21,1.09,1.0,0.79,1.01,0.99,1.03,1.03,0.88,0.96
c_0,1.85,1.43,2.04,1.23,1.2,1.31,0.98,1.14,1.28,1.0,1.42,1.01,1.04,1.17,1.02,1.04
b_0,1.7,1.52,1.92,1.6,1.36,1.42,1.1,1.09,0.96,0.67,1.0,0.94,0.98,1.22,0.79,0.87
f_0,1.75,1.35,1.65,1.58,1.36,1.28,1.26,0.93,1.11,1.0,1.04,1.0,1.14,0.99,0.78,1.31
h_0,2.03,1.53,1.65,1.77,1.44,1.13,1.06,1.31,0.97,0.96,0.99,0.86,1.0,0.93,1.0,0.81
a_0,1.78,1.61,1.98,1.68,1.97,1.61,1.21,1.21,0.95,0.83,0.83,1.01,1.0,1.0,0.91,1.11
g_0,1.85,1.67,1.73,1.99,1.42,1.32,1.06,1.2,1.06,0.95,1.2,1.3,1.01,1.07,1.0,1.02
e_0,2.43,1.26,1.92,1.76,2.03,1.8,1.25,0.99,1.11,1.02,1.15,0.79,1.21,0.82,0.98,1.0
