,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,0.92,1.17,0.94,0.67,0.59,0.51,0.42,0.57,0.42,0.41,0.37,0.34,0.34,0.34
f_1,1.2,1.0,0.9,1.1,0.77,0.76,0.44,0.46,0.4,0.44,0.4,0.35,0.36,0.28,0.28,0.31
d_1,1.11,1.12,1.0,0.83,0.95,0.71,0.54,0.37,0.57,0.45,0.43,0.39,0.34,0.33,0.31,0.27
c_1,0.86,0.91,1.17,1.0,1.41,0.7,0.5,0.42,0.36,0.31,0.33,0.43,0.28,0.36,0.34,0.33
b_1,1.06,1.3,1.04,0.72,1.0,1.16,0.57,0.48,0.53,0.43,0.55,0.42,0.34,0.37,0.35,0.34
a_1,1.46,1.3,1.43,1.42,0.86,1.0,0.72,0.66,0.54,0.58,0.65,0.52,0.49,0.52,0.38,0.46
h_1,1.7,2.22,1.86,1.95,1.74,1.37,1.0,0.91,0.75,0.76,0.79,0.7,0.67,0.65,0.55,0.74
g_1,1.88,2.14,2.72,2.38,2.16,1.62,1.09,1.0,0.9,0.85,0.92,1.12,0.76,0.66,0.82,0.75
c_0,2.45,2.61,1.81,2.6,1.9,1.79,1.27,1.13,1.0,1.16,1.24,0.99,1.01,0.84,0.75,0.74
d_0,1.77,2.26,2.11,3.27,2.43,1.75,1.32,1.22,0.84,1.0,0.98,1.06,0.71,0.75,0.78,0.82
b_0,2.33,2.54,2.23,3.24,2.01,1.45,1.19,1.08,0.82,1.03,1.0,0.96,1.28,0.97,0.77,0.79
f_0,2.39,2.95,2.56,2.51,2.57,1.99,1.39,0.88,1.04,0.9,1.02,1.0,0.74,0.96,1.12,0.64
a_0,2.63,2.7,2.82,3.67,2.69,2.06,1.5,1.39,1.06,1.39,0.82,1.33,1.0,1.1,0.92,1.15
h_0,2.89,3.54,2.94,2.78,2.81,1.79,1.49,1.56,1.19,1.32,1.12,1.01,0.94,1.0,0.88,1.04
e_0,2.96,3.69,3.27,2.92,2.86,2.51,1.83,1.31,1.38,1.27,1.4,0.91,1.13,1.2,1.0,0.9
g_0,2.95,3.2,3.64,2.96,2.93,2.13,1.34,1.29,1.3,1.22,1.21,1.48,0.89,0.94,1.16,1.0
