,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.87,0.17,0.08,0.09,0.06,0.04,0.08,0.06,0.07,0.07,0.07,0.01,0.07,0.04,0.04,0.05
e_1,0.09,0.88,0.08,0.07,0.07,0.04,0.1,0.05,0.15,0.08,0.07,0.08,0.09,0.04,0.01,0.06
d_1,0.08,0.09,0.88,0.07,0.07,0.05,0.07,0.07,0.02,0.15,0.08,0.07,0.08,0.06,0.05,0.07
c_1,0.11,0.1,0.06,0.88,0.14,0.03,0.06,0.06,0.06,0.01,0.05,0.06,0.07,0.05,0.04,0.05
b_1,0.09,0.07,0.08,0.08,0.87,0.1,0.12,0.06,0.09,0.07,0.02,0.05,0.05,0.04,0.04,0.06
a_1,0.11,0.09,0.07,0.1,0.04,0.87,0.09,0.06,0.07,0.07,0.06,0.06,0.06,0.01,0.05,0.05
h_1,0.22,0.13,0.16,0.1,0.11,0.08,0.52,0.19,0.14,0.13,0.12,0.1,0.07,0.08,0.09,0.13
g_1,0.16,0.12,0.26,0.14,0.08,0.08,0.11,0.52,0.1,0.13,0.15,0.15,0.13,0.08,0.08,0.06
d_0,0.18,0.13,0.04,0.29,0.1,0.09,0.14,0.12,0.37,0.12,0.12,0.12,0.13,0.09,0.1,0.11
c_0,0.17,0.14,0.18,0.06,0.1,0.07,0.15,0.17,0.15,0.38,0.29,0.13,0.19,0.12,0.09,0.14
b_0,0.2,0.17,0.18,0.14,0.02,0.06,0.14,0.13,0.15,0.14,0.41,0.13,0.16,0.18,0.1,0.09
f_0,0.07,0.13,0.21,0.17,0.09,0.08,0.14,0.11,0.19,0.15,0.14,0.37,0.14,0.11,0.18,0.14
h_0,0.22,0.14,0.18,0.17,0.08,0.06,0.03,0.15,0.14,0.13,0.14,0.09,0.06,0.11,0.07,0.12
a_0,0.17,0.14,0.19,0.15,0.09,0.03,0.14,0.14,0.13,0.11,0.16,0.14,0.14,0.35,0.12,0.11
e_0,0.18,0.06,0.15,0.15,0.12,0.09,0.13,0.16,0.19,0.19,0.17,0.13,0.17,0.12,0.36,0.11
g_0,0.12,0.13,0.26,0.14,0.09,0.08,0.13,0.05,0.12,0.13,0.14,0.19,0.11,0.11,0.1,0.05
