,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.4,0.43,0.59,0.67,0.65,0.6,0.34,0.35,0.32,0.24,0.33,0.29,0.23,0.26,0.31,0.29
f_1,0.61,0.4,0.57,0.64,0.59,0.49,0.26,0.34,0.27,0.26,0.3,0.27,0.18,0.26,0.22,0.22
d_1,0.71,0.66,0.38,0.53,0.56,0.55,0.3,0.24,0.34,0.29,0.26,0.28,0.21,0.27,0.22,0.16
c_1,0.5,0.56,0.69,0.38,0.69,0.59,0.3,0.3,0.19,0.29,0.25,0.22,0.23,0.26,0.27,0.23
b_1,0.57,0.7,0.59,0.43,0.38,0.68,0.34,0.3,0.27,0.31,0.27,0.3,0.23,0.25,0.29,0.22
a_1,0.64,0.71,0.63,0.59,0.38,0.31,0.34,0.39,0.28,0.27,0.27,0.39,0.27,0.38,0.29,0.21
h_1,0.53,0.61,0.55,0.6,0.54,0.52,0.23,0.29,0.29,0.22,0.23,0.26,0.25,0.25,0.23,0.26
g_1,0.56,0.61,0.59,0.61,0.55,0.48,0.27,0.21,0.26,0.25,0.28,0.23,0.17,0.23,0.24,0.24
d_0,0.41,0.54,0.72,0.67,0.6,0.59,0.32,0.33,0.22,0.23,0.28,0.25,0.23,0.24,0.26,0.28
c_0,0.66,0.59,0.41,0.73,0.59,0.49,0.35,0.32,0.33,0.21,0.31,0.3,0.23,0.29,0.23,0.22
f_0,0.54,0.65,0.53,0.62,0.54,0.5,0.31,0.23,0.26,0.23,0.2,0.26,0.22,0.24,0.31,0.17
b_0,0.54,0.57,0.48,0.76,0.59,0.49,0.31,0.37,0.29,0.16,0.29,0.2,0.22,0.3,0.23,0.21
h_0,0.54,0.59,0.56,0.56,0.56,0.47,0.33,0.35,0.27,0.24,0.24,0.24,0.25,0.28,0.23,0.24
a_0,0.57,0.6,0.52,0.56,0.67,0.61,0.32,0.32,0.26,0.22,0.26,0.16,0.19,0.18,0.25,0.24
e_0,0.72,0.66,0.57,0.61,0.5,0.46,0.28,0.25,0.31,0.26,0.17,0.27,0.25,0.23,0.18,0.18
g_0,0.51,0.61,0.61,0.57,0.54,0.58,0.22,0.31,0.25,0.24,0.24,0.25,0.18,0.22,0.26,0.24
