,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.0,1.29,0.68,0.69,0.66,0.61,0.87,0.75,0.91,0.89,1.02,0.58,0.95,0.91,0.66,0.86
e_1,0.82,2.03,0.67,0.92,0.73,0.65,0.99,0.8,1.62,0.99,0.94,0.96,0.94,0.97,0.7,1.04
d_1,0.82,0.68,2.29,0.6,0.71,0.66,1.05,0.99,0.63,1.75,1.28,0.98,1.04,1.1,1.2,1.15
c_1,0.72,0.65,0.7,2.28,1.32,0.74,0.9,1.04,0.95,0.48,0.66,0.9,0.94,0.86,0.97,0.8
b_1,0.78,0.66,0.79,0.8,2.46,1.44,0.81,0.97,0.87,0.81,0.56,1.1,1.03,0.72,0.99,0.79
a_1,0.83,0.7,0.83,0.88,0.65,3.54,0.96,0.96,0.91,0.97,0.92,1.12,1.03,0.82,0.95,0.96
h_1,1.1,0.85,0.99,0.75,0.77,0.65,2.02,1.38,0.91,1.0,1.14,1.07,0.73,0.85,1.14,1.38
g_1,0.65,0.63,1.43,0.84,0.85,0.69,1.07,2.45,0.76,1.05,0.99,1.62,1.13,1.17,1.23,0.9
d_0,0.87,0.81,0.59,1.5,0.85,0.79,1.13,1.01,1.52,0.68,0.85,1.05,0.95,0.94,1.01,1.0
c_0,0.93,0.91,1.08,0.62,0.54,0.72,1.11,1.12,0.94,1.68,2.14,1.01,1.26,1.41,1.07,1.28
b_0,0.87,0.92,0.97,0.88,0.51,0.64,1.12,1.09,1.07,1.21,1.98,1.09,1.12,2.37,1.08,1.34
f_0,0.6,0.6,1.0,0.95,0.87,1.01,1.17,1.23,0.93,0.94,1.12,2.14,1.17,1.29,2.54,1.35
h_0,1.08,0.82,0.94,0.78,0.72,0.77,0.9,1.35,0.88,0.96,1.18,1.17,0.84,0.99,1.2,1.54
a_0,0.91,0.81,0.86,0.89,0.87,0.69,1.2,1.1,1.13,0.95,1.25,1.15,1.23,2.27,1.27,1.23
e_0,0.97,0.61,0.91,0.84,0.94,0.94,1.14,1.21,0.85,0.94,1.25,1.24,1.42,1.11,2.56,1.29
g_0,0.73,0.79,1.27,0.84,0.69,0.81,1.09,0.98,0.83,1.01,1.34,1.82,1.07,1.03,1.31,0.86
