,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.71,0.89,0.74,0.95,0.76,0.76,0.99,1.5,0.92,0.95,0.99,1.01,0.96,0.97,0.98,0.79
f_1,1.2,1.7,0.82,0.79,0.73,0.73,0.98,1.03,0.9,0.98,0.89,0.75,0.86,1.01,0.97,0.71
d_1,0.77,0.87,1.84,0.65,0.72,0.74,1.01,0.74,1.57,1.06,1.21,1.1,1.07,1.06,1.05,1.16
c_1,0.81,0.82,0.75,1.97,1.34,0.8,0.89,0.86,0.57,0.79,0.72,0.89,0.9,0.83,0.88,0.97
b_1,0.86,0.8,0.83,0.86,2.26,1.33,0.91,0.88,0.86,0.81,0.61,0.9,1.02,0.79,0.87,0.96
a_1,0.76,0.93,0.92,0.85,0.79,3.22,0.99,0.84,0.9,1.02,1.07,0.84,1.15,0.67,1.05,0.92
h_1,0.9,1.02,0.93,0.91,0.77,0.65,1.74,0.86,0.97,1.2,1.07,1.07,0.83,1.01,1.26,1.17
d_0,0.85,0.86,0.65,1.45,0.96,0.83,0.94,1.29,0.8,0.94,1.03,1.04,1.02,1.0,1.01,0.92
c_0,0.81,0.96,1.0,0.79,0.68,0.78,1.09,1.02,1.51,1.17,1.9,1.22,1.31,1.46,1.17,1.17
g_1,0.71,0.83,1.31,0.85,0.71,0.78,0.95,0.86,1.17,2.02,1.14,1.37,1.07,1.11,0.98,1.18
b_0,0.78,0.97,0.94,0.96,0.66,0.64,1.1,1.1,1.11,1.13,1.69,1.26,1.24,2.13,1.17,1.27
f_0,0.62,0.8,1.04,0.96,0.94,0.86,1.12,1.01,1.05,1.17,1.15,1.82,1.14,1.23,1.14,2.21
h_0,0.85,1.11,0.99,0.86,0.82,0.86,0.78,0.91,1.02,1.26,0.99,0.98,0.96,0.94,1.29,0.99
a_0,0.83,0.92,0.97,0.87,0.89,0.63,1.04,1.07,1.16,1.04,1.26,1.27,1.01,1.99,1.05,1.12
g_0,0.75,0.83,1.25,0.8,0.85,0.89,0.92,0.83,1.01,0.85,1.07,1.52,1.07,0.91,0.85,1.34
e_0,0.57,0.91,1.06,1.0,0.93,0.93,1.17,0.91,1.03,1.02,1.15,1.12,1.18,1.11,1.23,1.98
