,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.94,0.49,0.28,0.27,0.21,0.16,0.17,0.18,0.19,0.17,0.07,0.15,0.1,0.15,0.1,0.15
e_1,0.24,0.94,0.23,0.31,0.29,0.2,0.2,0.31,0.16,0.19,0.18,0.17,0.13,0.17,0.05,0.12
d_1,0.29,0.39,0.94,0.24,0.2,0.21,0.19,0.1,0.13,0.31,0.17,0.18,0.11,0.14,0.14,0.12
c_1,0.32,0.24,0.27,0.94,0.44,0.18,0.22,0.18,0.14,0.07,0.16,0.15,0.13,0.16,0.14,0.16
b_1,0.38,0.25,0.33,0.24,0.94,0.32,0.2,0.19,0.17,0.17,0.21,0.07,0.14,0.16,0.14,0.13
a_1,0.41,0.32,0.31,0.34,0.26,0.93,0.27,0.25,0.18,0.22,0.18,0.24,,0.15,0.14,0.14
h_1,0.72,0.53,0.57,0.52,0.45,0.26,0.73,0.31,0.34,0.31,0.29,0.28,0.22,0.17,0.2,0.3
d_0,0.67,0.48,0.31,0.99,0.5,0.28,0.44,0.6,0.32,0.33,0.35,0.32,0.27,0.36,0.26,0.3
g_1,0.44,0.58,0.88,0.52,0.47,0.4,0.39,0.34,0.72,0.29,0.36,0.38,0.23,0.32,0.26,0.18
c_0,0.82,0.52,0.48,0.33,0.51,0.35,0.49,0.35,0.45,0.62,0.38,0.56,0.38,0.36,0.25,0.28
f_0,0.48,0.57,0.65,0.69,0.46,0.35,0.5,0.42,0.37,0.37,0.61,0.4,0.32,0.4,0.51,0.26
b_0,0.76,0.57,0.73,0.62,0.39,0.22,0.46,0.35,0.31,0.35,0.36,0.62,0.53,0.38,0.28,0.3
a_0,0.88,0.75,0.74,0.58,0.54,,0.53,0.36,0.4,0.32,0.4,0.28,0.58,0.33,0.32,0.33
h_0,0.8,0.59,0.78,0.69,0.5,0.38,0.27,0.39,0.42,0.38,0.36,0.35,0.3,0.21,0.3,0.35
e_0,0.71,0.57,0.63,0.75,0.68,0.49,0.49,0.37,0.4,0.39,0.35,0.37,0.32,0.37,0.59,0.26
g_0,0.63,0.67,1.08,0.67,0.51,0.4,0.44,0.37,0.26,0.39,0.59,0.34,0.31,0.34,0.37,
