,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.38,1.7,0.97,0.99,0.88,0.68,1.79,1.88,1.65,2.15,2.01,1.3,2.58,1.71,1.22,2.05
e_1,1.16,2.4,0.86,1.24,1.03,0.85,1.97,2.05,1.78,3.77,1.98,1.95,2.7,1.88,1.34,2.43
d_1,1.13,1.04,2.48,0.81,0.96,0.83,2.11,3.74,1.78,1.69,2.72,2.57,2.9,1.95,2.05,2.6
c_1,0.97,1.0,1.04,2.51,1.73,0.81,1.68,1.18,1.56,1.86,1.43,2.18,2.56,1.7,1.6,2.37
b_1,1.05,0.89,1.21,1.02,2.56,1.53,2.11,1.83,1.65,1.86,1.53,1.9,2.66,1.36,1.84,2.7
a_1,1.14,0.95,1.11,1.21,0.95,3.12,2.26,2.14,1.92,2.17,2.11,2.17,2.8,1.42,1.65,2.6
h_1,1.42,1.14,1.24,0.98,1.05,0.78,3.49,2.12,2.37,2.32,2.35,2.32,2.19,1.85,1.87,3.5
c_0,1.26,1.18,1.27,1.02,0.88,0.77,2.02,3.6,1.79,2.17,4.17,2.28,3.05,2.65,2.07,2.53
g_1,1.06,1.03,1.65,1.07,1.01,0.88,1.97,2.54,3.79,2.12,2.12,3.42,2.97,2.05,2.1,2.22
d_0,1.27,1.12,0.71,1.86,1.07,0.86,1.68,1.68,1.72,3.26,2.08,2.04,2.78,2.28,1.59,2.36
b_0,1.31,1.13,1.24,1.18,0.94,0.55,1.72,2.51,2.14,2.68,3.54,2.23,3.34,4.08,2.2,2.84
f_0,0.93,0.99,1.23,1.23,1.31,0.95,2.08,2.27,1.99,2.19,2.52,3.57,3.13,2.37,3.64,2.42
h_0,1.46,1.06,1.2,1.17,1.04,0.85,1.56,2.29,2.29,2.3,2.39,2.09,2.33,1.96,1.8,3.39
a_0,1.3,1.08,1.13,1.19,1.29,0.57,2.46,2.31,1.93,2.51,2.45,2.49,2.98,3.79,1.84,2.8
e_0,1.18,0.93,1.11,1.2,1.31,0.89,2.28,2.16,1.96,2.44,2.31,2.24,3.01,2.27,3.92,3.21
g_0,0.98,0.96,1.63,1.14,1.12,0.78,2.1,2.34,1.65,2.11,2.07,3.28,2.51,1.86,2.16,2.39
