,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.26,0.89,0.96,0.91,1.14,0.84,0.85,0.99,0.89,0.95,0.84,0.83,0.94,1.11,0.79
e_1,0.79,1.0,0.94,1.23,1.01,0.85,1.11,1.04,1.1,1.47,1.01,1.29,1.12,1.16,1.08,1.19
d_1,1.12,1.07,1.0,0.93,0.99,0.85,0.99,1.37,0.79,0.93,1.07,1.0,1.0,0.87,0.82,1.09
c_1,1.05,0.82,1.08,1.0,1.32,0.96,1.11,0.79,0.93,0.71,0.82,0.89,1.02,0.91,1.06,0.91
b_1,1.09,0.99,1.01,0.76,1.0,1.45,1.07,1.07,0.95,1.03,1.17,0.99,1.13,1.01,0.92,0.93
a_1,0.88,1.18,1.18,1.03,0.69,1.0,0.99,1.09,1.23,1.12,1.13,1.05,1.11,0.99,1.12,1.03
h_1,1.22,0.86,1.02,0.92,0.92,0.95,1.0,0.92,1.19,1.01,1.12,0.92,0.98,0.89,1.25,0.98
c_0,1.18,0.97,0.69,1.21,0.92,0.95,1.11,1.0,1.2,1.31,1.49,1.05,1.06,1.18,0.94,0.99
g_1,0.99,0.94,1.24,1.04,1.11,0.81,0.85,0.82,1.0,0.87,0.96,1.1,0.76,1.05,0.8,1.1
d_0,1.07,0.64,1.19,1.46,0.98,0.97,1.01,0.77,1.14,1.0,1.05,0.99,1.06,1.03,1.18,1.06
b_0,1.1,0.93,0.97,1.29,0.88,0.82,0.9,0.67,1.07,1.0,1.0,0.97,1.05,1.62,1.07,1.03
f_0,1.18,0.8,1.02,1.1,0.99,0.94,1.12,0.92,0.86,0.98,0.91,1.0,0.98,1.12,0.72,1.52
h_0,1.22,0.91,0.97,0.96,0.92,0.85,1.01,0.91,1.37,0.95,0.93,0.94,0.99,0.9,1.08,0.78
a_0,1.1,0.82,1.16,1.09,1.02,0.88,1.18,0.88,0.94,0.98,0.67,0.92,1.16,1.0,1.12,1.18
g_0,0.91,0.91,1.25,0.99,1.05,0.82,0.79,1.07,1.26,0.87,0.94,1.4,0.93,0.83,1.0,1.04
e_0,1.31,0.92,0.91,1.1,0.98,0.98,1.02,1.01,0.86,0.89,0.97,0.65,1.23,0.89,0.94,1.0
