,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.71,1.08,0.89,0.88,0.79,0.61,0.54,0.36,0.32,0.33,0.47,0.31,0.36,,0.31
f_1,1.4,1.0,0.85,0.97,0.89,0.79,0.39,0.43,0.47,0.38,0.34,,0.33,0.29,0.32,0.33
c_1,0.92,1.17,1.0,1.23,1.19,0.7,0.49,0.35,,0.39,0.35,0.41,0.33,0.34,0.4,0.33
d_1,1.12,1.03,0.81,1.0,0.92,0.98,0.59,,0.48,0.36,0.41,0.46,0.38,0.42,0.3,0.23
b_1,1.13,1.12,0.84,1.09,1.0,1.16,0.5,0.44,0.49,0.49,,0.36,0.37,0.38,0.28,0.35
a_1,1.27,1.27,1.44,1.02,0.86,1.0,0.72,0.63,0.53,0.59,0.53,0.46,,0.53,,0.58
h_1,1.65,2.54,2.05,1.7,2.0,1.38,1.0,1.0,0.99,1.15,0.78,0.74,0.65,,0.55,0.65
d_0,1.86,2.3,2.87,,2.28,1.59,1.0,1.0,1.13,0.93,0.95,0.81,0.59,0.74,0.64,0.7
c_0,2.82,2.12,,2.09,2.04,1.9,1.01,0.88,1.0,1.16,1.31,0.93,0.69,0.8,0.61,0.6
g_1,3.15,2.62,2.59,2.79,2.05,1.71,0.87,1.07,0.86,1.0,0.92,1.14,0.84,0.67,,
b_0,3.01,2.91,2.83,2.43,,1.89,1.28,1.05,0.77,1.09,1.0,0.83,1.43,0.83,,0.88
f_0,2.14,,2.41,2.17,2.82,2.19,1.35,1.24,1.08,0.88,1.2,1.0,1.17,1.08,1.21,0.58
a_0,3.21,3.03,3.05,2.65,2.67,,1.53,1.68,1.44,1.19,0.7,0.85,1.0,,,0.72
h_0,2.79,3.49,2.93,2.38,2.62,1.87,,1.35,1.25,1.49,1.21,0.93,,,1.06,1.27
e_0,,3.15,2.51,3.35,3.61,,1.82,1.56,1.65,,,0.83,,0.95,1.0,
g_0,3.2,3.04,3.02,4.29,2.89,1.74,1.54,1.42,1.66,,1.14,1.73,1.39,0.78,,
