,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.15,1.06,1.36,1.72,3.3,19.68,22.6,28.86,36.72,36.98,50.5,72.55,87.94,95.57,118.23
f_1,0.88,1.0,1.24,1.49,1.61,3.12,16.17,25.37,27.86,26.06,30.85,42.71,62.24,67.8,108.71,84.91
e_1,0.94,0.83,1.0,1.64,1.69,3.41,19.1,26.62,35.59,28.97,35.85,49.67,66.79,79.18,108.54,105.31
c_1,0.74,0.65,0.61,1.0,1.54,2.18,12.68,17.68,13.65,16.46,18.15,34.28,50.29,48.89,73.25,72.87
b_1,0.57,0.63,0.58,0.68,1.0,2.8,11.13,14.23,15.31,18.66,21.35,27.91,42.5,45.29,66.52,67.4
a_1,0.29,0.31,0.29,0.47,0.37,1.0,6.76,8.21,8.74,8.89,11.5,13.19,24.24,27.44,33.14,35.05
h_1,0.05,0.06,0.05,0.08,0.09,0.15,1.0,1.59,1.32,1.38,1.62,2.17,4.02,3.96,6.05,5.53
g_1,0.04,0.04,0.04,0.06,0.07,0.12,0.62,1.0,1.0,1.19,1.34,2.21,2.53,3.0,3.99,4.84
d_0,0.03,0.04,0.03,0.07,0.06,0.11,0.74,0.95,1.0,0.97,1.3,1.58,2.84,2.54,3.89,4.49
c_0,0.03,0.04,0.03,0.06,0.05,0.11,0.72,0.87,1.08,1.0,1.6,1.66,2.71,3.0,3.81,4.51
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.59,0.75,0.76,0.63,1.0,1.38,2.01,2.91,3.22,2.96
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.42,0.44,0.56,0.62,0.74,1.0,1.49,1.69,1.86,3.76
h_0,0.01,0.02,0.01,0.02,0.02,0.04,0.25,0.38,0.36,0.37,0.49,0.66,1.0,1.02,1.71,1.39
a_0,0.01,0.02,0.01,0.02,0.02,0.03,0.26,0.35,0.37,0.34,0.36,0.56,0.96,1.0,1.34,1.29
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.24,0.23,0.27,0.33,0.54,0.59,0.74,1.0,1.21
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.17,0.21,0.21,0.21,0.32,0.3,0.7,0.72,0.85,1.0
