,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.99,0.9,1.65,1.82,3.23,20.26,35.86,28.0,30.82,45.22,52.22,85.0,100.34,136.29,124.08
d_1,1.01,1.0,1.11,1.11,1.51,3.05,15.49,26.05,20.03,33.05,40.37,44.23,68.23,75.51,93.4,89.82
f_1,1.1,0.89,1.0,1.1,1.45,2.85,12.23,21.84,25.16,22.79,38.31,38.02,68.48,81.48,74.9,86.85
c_1,0.61,0.9,0.91,1.0,1.97,2.51,13.83,14.84,19.19,18.95,25.85,32.96,52.47,61.95,80.35,89.66
b_1,0.55,0.66,0.69,0.51,1.0,3.41,10.26,14.87,17.43,18.9,23.22,26.58,54.04,42.36,62.96,60.29
a_1,0.32,0.33,0.35,0.39,0.29,1.0,5.05,6.65,7.89,9.12,13.56,12.17,22.39,29.16,28.89,31.39
h_1,0.05,0.07,0.08,0.07,0.1,0.19,1.0,1.35,1.68,1.58,2.49,2.18,4.43,4.97,5.28,6.53
d_0,0.03,0.04,0.04,0.07,0.07,0.15,0.77,1.0,1.07,0.87,1.71,1.58,3.28,3.62,3.57,4.31
g_1,0.04,0.05,0.04,0.05,0.06,0.12,0.61,0.92,1.0,1.06,1.57,2.21,2.31,2.98,3.9,4.36
c_0,0.03,0.03,0.04,0.05,0.05,0.11,0.66,1.18,0.95,1.0,2.09,1.59,3.22,3.15,3.56,3.48
b_0,0.02,0.02,0.03,0.04,0.05,0.07,0.4,0.59,0.63,0.49,1.0,1.02,2.21,3.08,2.28,2.5
f_0,0.02,0.02,0.03,0.03,0.04,0.08,0.43,0.62,0.46,0.65,0.91,1.0,1.65,2.15,3.47,2.06
h_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.31,0.42,0.32,0.44,0.56,1.0,1.02,1.09,1.6
a_0,0.01,0.01,0.01,0.02,0.03,0.03,0.19,0.28,0.37,0.3,0.32,0.51,1.0,1.0,1.11,1.06
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.2,0.27,0.25,0.28,0.42,0.29,0.93,0.91,1.0,1.13
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.24,0.24,0.3,0.42,0.49,0.62,0.92,0.9,1.02
