,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.17,2.34,1.79,1.56,1.61,1.75,0.49,0.29,0.32,1.7,0.32,0.29,0.21,0.35,0.28,0.14
e_1,1.81,0.17,0.95,1.6,1.9,1.57,0.62,0.54,0.33,0.39,0.3,0.45,0.24,0.37,1.67,0.31
f_1,1.45,1.67,0.17,1.78,1.63,1.55,0.36,0.89,0.32,0.31,0.31,1.36,0.16,0.31,0.33,0.25
c_1,2.14,1.49,1.49,0.14,1.97,1.77,0.5,0.39,1.1,0.18,0.42,0.36,0.23,0.31,0.28,0.28
b_1,1.93,1.72,1.7,0.93,0.13,2.48,0.43,0.47,0.4,0.31,2.29,0.33,0.19,0.38,0.4,0.28
a_1,2.54,1.44,2.03,1.82,0.85,0.09,0.44,0.51,0.36,0.38,0.49,0.28,0.45,1.33,0.36,0.22
h_1,0.8,1.02,1.22,0.85,0.87,1.0,0.07,0.36,0.21,0.19,0.19,0.15,0.47,0.16,0.15,0.14
g_1,0.85,1.0,1.13,1.14,1.01,0.78,0.21,0.06,0.19,0.19,0.22,0.16,0.12,0.21,0.23,0.35
c_0,0.46,1.0,0.96,4.58,1.06,1.02,0.28,0.29,0.08,0.24,0.16,0.19,0.14,0.13,0.2,0.14
d_0,3.08,0.44,1.11,0.94,1.02,0.9,0.25,0.41,0.19,0.07,0.21,0.2,0.15,0.21,0.17,0.17
b_0,0.67,0.84,0.88,1.39,2.38,0.88,0.26,0.27,0.09,0.24,0.06,0.19,0.18,0.19,0.2,0.17
f_0,0.75,0.81,2.59,0.88,1.06,0.74,0.24,0.19,0.19,0.18,0.22,0.06,0.19,0.19,0.2,0.09
h_0,0.89,0.81,0.91,0.97,1.32,0.7,0.82,0.26,0.15,0.18,0.18,0.17,0.42,0.15,0.19,0.15
a_0,0.73,0.69,1.32,1.62,1.44,1.67,0.34,0.21,0.15,0.22,0.08,0.18,0.12,0.05,0.18,0.13
e_0,0.8,2.51,1.21,1.45,0.71,0.76,0.2,0.23,0.17,0.16,0.21,0.08,0.17,0.17,0.04,0.15
g_0,0.81,0.89,1.42,0.86,0.97,0.78,0.21,0.5,0.18,0.21,0.16,0.21,0.11,0.18,0.18,0.33
