,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.95,0.42,0.45,0.48,0.41,0.29,0.34,0.3,0.32,0.42,0.25,0.26,0.21,0.27,0.13,0.21
f_1,0.77,0.95,0.41,0.45,0.34,0.29,0.27,0.25,0.24,0.26,0.16,0.23,0.21,0.21,0.15,0.2
d_1,0.46,0.5,0.95,0.34,0.39,0.31,0.35,0.27,0.45,0.22,0.26,0.29,0.21,0.21,0.23,0.2
c_1,0.47,0.44,0.51,0.94,0.65,0.3,0.34,0.27,0.14,0.24,0.26,0.2,0.21,0.24,0.2,0.21
b_1,0.48,0.58,0.47,0.4,0.94,0.54,0.35,0.31,0.28,0.28,0.29,0.19,0.17,0.3,0.18,0.23
a_1,0.65,0.56,0.55,0.45,0.33,0.94,0.39,0.35,0.34,0.38,0.32,0.32,0.21,0.34,0.28,0.28
h_1,0.65,1.03,0.71,0.65,0.58,0.44,0.76,0.58,0.41,0.4,0.33,0.44,0.34,0.35,0.31,0.43
g_1,0.73,0.73,1.04,0.72,0.64,0.39,0.4,0.76,0.45,0.38,0.58,0.39,0.3,0.42,0.28,0.34
c_0,0.72,0.92,0.83,0.75,0.53,0.5,0.58,0.46,0.66,0.47,0.44,0.8,0.42,0.51,0.41,0.42
d_0,0.71,0.88,0.62,1.14,0.69,0.37,0.55,0.55,0.43,0.65,0.42,0.44,0.41,0.5,0.39,0.36
f_0,0.74,0.72,0.94,0.81,0.62,0.5,0.63,0.43,0.55,0.54,0.68,0.45,0.38,0.47,0.67,0.38
b_0,0.81,0.96,0.82,0.96,0.45,0.43,0.53,0.52,0.43,0.51,0.53,0.67,0.66,0.48,0.37,0.44
a_0,0.87,1.08,0.99,0.84,0.72,0.38,0.64,0.59,0.5,0.5,0.5,0.41,0.66,0.53,0.34,0.44
h_0,0.88,1.27,1.01,0.74,0.67,0.52,0.45,0.66,0.48,0.46,0.46,0.43,0.36,0.4,0.32,0.49
e_0,0.8,1.14,0.87,0.85,0.89,0.48,0.6,0.53,0.56,0.52,0.43,0.55,0.49,0.53,0.64,0.41
g_0,0.91,0.83,1.33,0.87,0.7,0.52,0.55,0.44,0.54,0.51,0.7,0.54,0.43,0.47,0.42,0.37
