,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.79,0.84,0.99,0.67,0.77,0.69,0.89,1.52,0.85,0.89,1.05,1.02,1.12,1.01,0.81,0.99
f_1,1.29,1.84,0.82,0.67,0.69,0.67,0.89,1.04,0.89,0.82,1.02,0.67,0.98,0.95,0.67,0.93
c_1,0.73,0.74,1.88,0.8,1.32,0.89,0.92,0.9,0.64,0.91,0.69,0.92,0.79,0.89,1.07,0.88
d_1,0.75,0.96,0.66,2.04,0.78,0.71,1.05,0.68,1.62,1.07,1.1,1.04,1.1,1.0,0.92,1.01
b_1,0.78,0.77,0.81,0.89,2.05,1.33,1.04,0.92,0.87,0.85,0.74,0.98,0.76,0.97,0.9,0.99
a_1,0.75,0.87,0.84,0.91,0.79,2.96,1.01,0.81,1.07,1.03,0.99,1.0,0.68,1.19,1.11,1.09
h_1,0.86,1.05,0.79,1.12,0.75,0.78,1.7,0.81,0.99,1.29,1.03,0.99,1.01,0.86,1.1,1.32
d_0,0.83,0.86,1.42,0.69,0.93,0.74,1.0,1.38,0.78,1.04,1.04,1.02,1.06,1.09,1.09,0.92
c_0,0.84,0.84,0.75,1.09,0.74,0.83,1.05,0.95,1.53,1.21,1.76,1.2,1.38,1.12,1.24,1.25
g_1,0.81,0.9,0.81,1.32,0.77,0.75,1.03,0.81,1.12,2.07,1.07,1.53,0.99,1.11,1.22,0.85
b_0,0.89,0.93,0.88,1.03,0.68,0.81,1.11,0.97,1.05,1.23,1.54,1.08,1.91,1.07,1.24,1.12
f_0,0.75,0.76,0.91,0.96,0.85,0.81,1.17,1.07,1.22,1.08,1.23,1.85,1.27,1.09,2.36,0.97
a_0,0.88,1.02,1.04,0.91,0.78,0.51,1.08,1.07,1.04,1.17,1.1,1.13,1.9,1.08,1.13,1.12
h_0,0.82,1.17,0.92,0.94,0.73,0.86,0.79,0.94,0.88,1.34,1.1,1.09,0.92,0.85,1.01,1.31
e_0,0.59,0.87,1.15,1.01,1.01,0.92,1.02,1.0,0.82,1.08,1.07,1.05,0.92,1.22,2.25,1.11
g_0,0.79,0.76,0.81,1.31,0.81,0.86,1.02,0.93,1.11,0.9,1.17,1.42,1.02,1.02,1.15,0.91
