,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.22,0.03,0.04,0.03,0.03,0.02,0.07,0.03,0.08,0.08,0.05,,0.08,0.05,0.05,0.05
d_1,0.03,2.27,0.02,0.02,0.02,0.02,0.06,0.05,0.11,,0.06,0.08,0.07,0.05,0.08,0.04
e_1,0.03,0.03,2.29,0.02,0.02,0.02,0.06,0.04,0.06,0.11,0.05,0.05,0.09,0.04,0.08,
c_1,0.04,0.02,0.03,2.43,0.05,0.03,0.05,0.04,,0.09,0.04,0.06,0.07,0.04,0.07,0.04
b_1,0.03,0.04,0.02,0.04,2.53,0.04,0.06,0.04,0.05,0.06,,0.06,0.08,0.03,0.05,0.06
a_1,0.04,0.03,0.04,0.02,0.02,2.89,0.07,0.05,0.06,0.05,,,0.09,,0.07,
h_1,0.14,0.09,0.11,0.12,0.1,0.07,2.61,0.22,0.28,0.22,0.24,0.19,,0.12,0.37,0.2
g_1,0.12,0.16,0.09,0.09,0.1,0.09,0.2,2.96,0.26,0.15,0.22,0.33,0.3,0.22,,
c_0,0.16,0.15,0.15,,0.1,0.12,0.27,0.29,2.01,0.31,0.57,0.33,0.43,,0.39,0.16
d_0,0.18,,0.14,0.3,0.12,0.12,0.23,0.32,0.24,1.99,0.4,0.25,0.36,0.19,0.3,0.27
b_0,0.12,0.17,0.15,0.11,,,0.31,0.2,0.3,0.33,2.14,0.37,0.52,0.47,0.35,0.28
f_0,,0.14,0.14,0.14,0.16,,0.3,0.34,0.28,0.34,0.3,2.23,0.4,0.2,0.38,0.43
h_0,0.21,0.27,0.23,0.22,0.17,0.2,,0.47,0.59,0.42,0.39,0.33,,0.42,0.68,0.34
a_0,0.12,0.16,0.18,0.13,0.14,,0.31,0.19,,0.25,0.2,0.26,0.49,2.86,0.42,
g_0,0.23,0.3,0.17,0.18,0.19,0.2,0.33,,0.43,0.55,0.37,0.6,0.48,0.44,,0.45
e_0,0.12,0.14,,0.15,0.15,,0.28,,0.38,0.21,0.32,0.31,0.45,,0.39,2.71
