,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,10110.5,1302.09,1418.11,2558.58,2546.03,9509.72,1775850.02,5952238.49,3729056.36,6653555.13,9737129.46,11259687.31,52813022.72,48005649.51,16284025.1,73088016.39
f_1,1995.05,11786.83,1807.15,1822.29,2615.76,10594.86,1647132.38,2690131.22,3583645.34,8042866.72,8567153.76,3377902.04,37343985.97,28365074.81,50406397.55,85144219.39
d_1,1054.28,1745.39,19753.95,1336.1,1872.0,10594.58,2028210.54,752846.62,3778801.73,11454074.41,11594987.09,11556794.52,39738994.78,35380192.46,73205276.43,90654914.3
c_1,1019.71,1136.01,1214.98,24516.35,6402.61,8981.27,1721381.26,3322610.41,3097598.75,1304018.49,8917527.67,10773080.32,43004918.58,31826426.77,60778401.99,84875010.9
b_1,921.72,890.5,1970.26,2608.92,35328.7,21516.49,1400506.16,2402083.71,4815398.45,5585548.37,1745915.93,16253625.24,45110759.13,30844088.67,48528849.12,86345345.2
a_1,1036.42,1140.06,2177.35,2494.72,1923.7,187392.2,1923300.15,2545021.88,5254033.56,5278282.71,10779843.17,12296560.17,57482203.55,7002194.56,65351759.46,97412883.18
h_1,1835.54,3153.0,2981.74,3713.44,4270.9,15291.43,12410863.87,5202549.14,7733035.58,8709459.45,17527743.68,18018596.75,27141828.76,57543957.88,100368597.73,236699820.47
d_0,1343.54,1973.28,1396.51,8204.51,5966.6,20750.63,2537153.21,14194187.09,5952168.6,8636835.23,18906203.44,21369384.47,74701002.39,78105779.96,124965315.65,181098205.59
g_1,1520.76,1757.9,5395.04,2182.59,5638.33,21171.99,3707904.51,4128179.03,35448408.37,12392175.67,12625980.22,33469504.98,77508018.58,69795849.54,117873725.65,62386858.5
c_0,1665.78,2539.21,4073.62,1721.28,3082.29,18557.72,3424406.08,6613200.81,7679546.21,34977049.95,34428933.07,24410859.08,59663787.62,94806028.96,95651211.57,226398321.39
b_0,1758.04,2438.61,4012.22,3957.86,1432.54,16444.43,3361915.92,6578024.21,7668653.23,13052310.49,52941392.23,23735242.85,89601468.29,131787104.09,152162997.38,211211436.36
f_0,1705.67,757.53,2936.97,3918.94,7186.86,24234.79,3328863.38,6879462.64,8099476.45,11768183.47,15154702.85,70741764.27,76353447.32,71015752.03,254259954.03,152345437.24
h_0,1736.2,3109.28,3426.63,3873.58,5798.26,16747.67,892292.04,5220538.52,8745647.91,10139229.54,14116928.47,16396252.21,25672976.85,51752938.16,78360603.81,177744878.21
a_0,1978.94,2716.95,3734.15,3609.33,4321.15,7511.58,3773374.29,6604975.43,5211393.54,10272695.77,21172126.03,22352183.31,87139555.49,273569635.82,98775445.39,144549508.68
e_0,541.44,2495.68,4084.87,4162.31,6472.56,16087.35,3208215.07,6832422.93,6907348.74,15127735.14,15802870.27,27354898.82,114218245.37,75425791.0,421067524.2,220717516.37
g_0,1731.05,1642.54,5775.76,3794.16,5035.41,14053.43,2551437.04,4224580.12,4020340.34,12461606.18,20158404.68,25974381.94,58565162.64,81645985.28,123372273.38,69961143.23
