,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.04,3.11,3.6,2.47,2.8,2.84,9.87,20.95,10.69,9.41,11.78,13.29,14.69,20.65,11.17,20.46
f_1,4.64,6.22,2.76,2.47,2.65,2.72,9.16,13.92,11.88,8.27,12.57,10.17,14.49,18.88,11.65,19.5
c_1,2.46,2.75,6.65,2.68,4.83,3.05,8.93,10.55,9.32,10.21,10.27,13.46,11.36,20.11,14.61,19.78
d_1,2.69,3.06,2.08,6.77,2.69,2.83,11.7,8.66,23.38,11.81,18.61,12.96,15.7,21.55,17.43,18.94
b_1,2.58,2.74,3.17,2.75,7.11,5.05,10.74,11.92,11.7,9.97,9.65,12.29,11.58,19.53,14.63,20.55
a_1,2.94,2.79,3.18,3.17,2.67,11.16,11.37,12.28,12.53,11.33,12.26,14.57,14.04,19.67,17.13,24.52
h_1,2.83,3.84,3.02,3.26,3.0,3.24,19.31,11.41,12.64,13.05,15.05,14.08,17.44,14.97,17.24,25.73
d_0,2.77,3.03,5.14,2.33,3.37,2.56,9.22,19.69,10.28,11.92,10.64,13.94,15.19,21.13,15.44,18.39
c_0,2.95,3.26,2.47,3.49,2.42,3.11,12.59,13.99,21.59,12.54,26.9,18.51,20.98,22.64,15.64,22.83
g_1,2.59,2.5,2.88,4.55,3.1,3.09,10.59,10.06,14.39,24.57,15.08,21.49,16.36,21.16,19.56,16.81
b_0,2.76,2.9,2.97,3.55,2.76,3.4,12.29,12.82,15.92,13.38,24.99,15.86,28.54,22.54,17.45,23.52
f_0,2.5,2.8,2.98,3.18,3.27,3.4,12.11,14.21,14.36,12.83,17.8,25.47,18.21,27.15,32.68,23.0
a_0,2.95,3.25,3.07,3.26,2.85,2.39,12.55,13.83,15.39,11.69,15.66,14.24,29.56,23.85,17.2,22.68
h_0,2.93,3.83,2.96,3.03,2.94,3.26,7.45,12.55,14.75,14.7,16.31,14.65,13.95,18.37,17.72,29.57
e_0,2.58,3.54,2.73,3.68,2.79,2.71,13.19,13.33,15.31,12.42,15.08,15.03,18.59,22.51,29.96,26.79
g_0,2.83,2.93,2.96,4.4,2.87,2.7,11.35,11.12,16.1,9.42,14.14,20.72,14.04,20.2,17.86,20.72
