,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,0.91,1.27,1.01,0.95,1.07,1.11,1.3,0.9,1.04,1.07,1.02,0.98,1.04,1.08
f_1,1.18,1.0,0.94,1.01,0.92,0.91,0.85,1.0,1.1,0.99,0.99,0.94,0.87,1.02,0.79,1.06
d_1,1.06,1.12,1.0,0.9,0.95,0.95,1.04,0.89,0.95,1.25,1.01,0.92,1.14,0.97,1.01,0.85
c_1,0.8,1.02,1.1,1.0,1.37,0.99,1.04,0.96,0.72,0.91,0.8,0.93,0.92,0.94,0.94,1.01
b_1,1.03,1.06,1.02,0.74,1.0,1.4,0.98,1.02,0.98,1.08,1.06,1.02,1.06,0.89,1.06,1.03
a_1,1.03,1.09,1.09,0.99,0.74,1.0,1.1,1.06,1.05,1.01,1.28,1.16,1.09,1.1,1.04,0.99
h_1,0.95,1.14,1.0,0.95,1.01,0.91,1.0,1.3,0.93,0.97,0.99,0.96,0.99,0.94,0.92,1.02
g_1,0.92,1.0,1.12,1.04,1.0,0.88,0.78,1.0,0.86,0.93,0.93,1.2,0.91,0.98,1.13,1.07
d_0,0.8,0.88,1.07,1.35,1.05,0.93,1.08,1.1,1.0,0.78,1.07,1.1,1.02,1.07,1.05,1.06
c_0,1.14,0.97,0.81,1.09,0.92,0.95,1.03,1.04,1.23,1.0,1.3,1.06,1.09,1.18,1.1,1.03
b_0,1.01,1.02,0.97,1.24,0.94,0.76,1.01,0.98,0.96,0.81,1.0,1.05,1.04,1.37,1.02,1.07
f_0,0.92,1.04,1.1,1.08,0.95,0.85,1.03,0.87,1.0,0.9,0.9,1.0,1.04,1.09,1.44,0.92
h_0,0.96,1.11,0.93,1.04,0.93,0.89,1.02,1.09,0.95,0.92,0.95,0.95,1.0,1.06,1.0,1.07
a_0,1.01,0.96,0.97,1.05,1.04,0.99,1.06,1.02,0.96,0.87,0.77,0.95,0.91,1.0,1.01,0.96
e_0,0.92,1.26,0.98,1.11,1.0,0.94,1.04,0.9,0.93,0.92,1.03,0.72,1.02,1.06,1.0,0.91
g_0,0.94,0.91,1.17,1.0,1.01,0.99,0.94,0.93,0.93,0.97,0.97,1.11,0.95,0.99,1.09,1.0
