,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.36,0.94,0.96,0.92,0.87,0.89,0.98,0.86,0.85,1.06,0.98,0.89,0.7,0.98,1.21
e_1,0.74,1.0,1.05,1.11,0.91,1.12,1.1,1.15,0.94,1.44,1.02,1.14,0.95,1.29,1.1,1.03
d_1,1.06,0.95,1.0,1.03,1.04,1.02,0.98,0.73,1.48,0.88,1.01,0.91,0.9,1.07,0.8,0.76
c_1,1.04,0.9,0.97,1.0,1.45,0.93,0.96,1.1,0.96,0.73,0.96,0.92,1.0,1.08,0.9,0.95
b_1,1.09,1.1,0.96,0.69,1.0,1.44,1.0,1.1,0.93,1.12,1.02,1.11,1.17,1.05,0.9,0.98
a_1,1.14,0.89,0.98,1.08,0.69,1.0,1.08,1.01,1.19,1.1,1.25,1.02,1.17,1.0,,1.03
h_1,1.12,0.89,1.01,1.07,1.0,0.93,1.0,1.09,0.83,0.92,0.82,1.2,1.12,0.76,1.08,1.3
g_1,1.01,0.85,1.34,0.93,0.91,0.95,0.95,1.0,0.81,0.77,0.96,1.24,0.82,0.97,1.03,0.9
c_0,1.17,1.14,0.7,0.98,1.06,0.82,1.19,1.26,1.0,1.14,1.45,1.04,1.11,0.96,1.08,1.11
d_0,1.15,0.68,1.16,1.45,0.98,0.98,1.07,1.36,0.83,1.0,0.88,0.86,1.02,1.23,1.04,1.14
b_0,0.99,0.96,0.98,1.15,0.97,0.87,1.21,1.03,0.69,1.12,1.0,0.98,1.17,1.04,1.39,0.96
f_0,1.05,0.81,1.09,1.09,0.96,0.96,0.84,0.77,0.95,1.13,0.94,1.0,1.19,1.7,1.09,0.84
h_0,1.15,1.02,1.07,1.02,0.8,0.83,0.91,1.22,0.92,0.93,0.87,0.83,1.0,0.76,1.04,1.06
e_0,1.43,0.78,0.97,0.96,0.99,0.89,1.34,1.01,1.04,0.82,0.96,0.59,1.26,1.0,0.99,1.02
a_0,0.99,0.89,1.13,1.07,1.1,,0.9,1.04,0.98,0.94,0.7,0.91,1.04,1.01,1.0,1.09
g_0,0.78,0.95,1.34,1.06,1.01,0.96,0.77,1.05,0.89,0.85,1.05,1.12,0.96,0.97,0.88,1.0
