,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.07,2.14,2.93,3.12,2.82,3.14,1.29,1.32,1.23,0.82,1.01,0.94,0.98,0.81,0.73,2.21
f_1,3.63,1.07,2.87,3.01,3.21,2.7,1.02,0.94,1.16,0.95,0.73,1.63,0.82,0.52,0.78,0.53
d_1,4.68,3.78,1.07,2.96,2.89,2.95,1.24,2.27,0.82,1.23,0.94,0.95,0.91,0.74,0.52,0.83
c_1,3.73,3.69,4.45,1.07,4.12,2.77,1.41,0.63,1.36,1.83,1.04,0.92,0.87,0.83,0.67,0.82
b_1,5.39,4.43,4.76,2.66,1.07,4.92,1.71,1.08,1.89,1.13,5.15,1.46,1.27,1.42,1.01,1.25
a_1,4.79,6.45,5.14,6.62,2.96,1.07,2.28,1.66,2.03,1.47,2.0,1.5,3.75,1.1,1.61,1.37
h_1,7.28,7.04,6.81,7.28,5.9,5.35,1.38,2.07,2.87,2.25,2.01,2.07,1.67,2.03,1.53,1.93
d_0,4.53,10.24,13.31,10.72,10.51,7.53,4.22,1.65,3.32,2.11,2.4,2.3,1.97,1.76,1.88,2.23
g_1,8.81,9.26,10.22,8.16,7.52,7.4,2.73,2.64,1.38,2.96,2.54,3.18,2.78,1.54,4.33,2.43
c_0,9.62,8.62,5.77,21.97,12.27,7.22,3.78,3.55,3.37,1.66,3.27,3.06,2.55,2.61,2.38,2.33
b_0,7.73,13.58,10.45,10.71,,7.66,3.8,3.27,3.73,1.77,1.61,2.54,2.81,2.34,1.98,2.84
f_0,9.22,24.55,9.0,10.94,7.75,7.83,3.7,3.37,2.23,2.61,2.82,1.59,2.85,2.35,1.71,3.42
a_0,9.91,14.07,10.71,14.36,12.13,,4.67,4.72,4.79,4.26,2.22,3.1,1.62,3.08,2.67,3.45
h_0,10.39,14.97,12.61,13.85,10.69,9.38,8.12,4.15,5.88,3.34,3.75,3.36,3.11,4.4,3.28,3.12
g_0,13.29,14.85,14.27,18.33,12.98,7.24,4.4,4.28,,3.17,3.64,3.72,3.43,2.16,4.32,2.71
e_0,16.93,22.02,12.65,13.25,10.9,10.78,4.72,4.03,4.07,4.6,3.49,2.19,3.18,3.59,3.16,1.73
