,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,12.82,0.73,0.53,0.55,0.64,0.61,1.14,2.43,1.01,0.55,1.29,1.08,1.08,1.15,1.07,1.12
f_1,0.54,12.6,1.69,0.57,0.49,0.61,0.9,0.67,0.78,0.95,0.86,0.46,0.89,0.85,0.81,0.68
e_1,0.55,0.7,12.58,0.93,0.7,0.61,0.89,0.79,0.78,2.4,1.02,1.08,1.08,0.99,0.93,0.64
c_1,0.71,0.54,0.55,15.45,1.61,0.57,0.63,0.47,0.78,0.88,0.53,0.8,0.93,0.74,0.83,1.11
b_1,0.7,0.59,0.54,0.49,16.5,1.82,0.9,0.93,0.88,0.76,0.66,1.16,0.9,0.8,0.99,0.89
a_1,0.69,0.77,0.61,0.83,0.6,21.84,0.98,0.86,1.03,0.84,1.07,0.99,0.99,0.54,1.14,0.85
h_1,0.8,1.09,0.69,0.92,0.52,0.59,3.61,0.99,1.73,0.92,0.95,1.08,0.73,1.06,1.38,1.1
c_0,0.87,0.88,0.74,0.51,0.57,0.8,1.25,2.33,1.3,1.07,3.48,1.04,1.21,1.74,1.3,1.25
g_1,1.56,0.63,0.55,0.76,0.62,0.6,1.0,1.04,4.25,0.67,0.97,1.77,1.09,1.11,0.79,1.43
d_0,0.47,0.73,0.69,2.02,0.92,0.76,0.97,0.7,0.89,2.18,1.03,0.96,1.03,0.85,0.94,0.87
b_0,0.82,0.86,0.83,0.92,0.46,0.58,1.11,1.07,1.15,0.97,2.71,1.28,1.18,3.13,1.22,1.43
f_0,1.01,0.55,0.5,0.92,0.83,0.75,1.19,1.2,1.48,0.94,1.1,3.15,1.2,1.4,1.24,3.23
h_0,0.89,1.27,0.74,0.78,0.75,0.63,0.82,0.91,1.33,0.98,1.05,1.03,0.83,1.16,1.64,1.12
a_0,0.93,0.85,0.77,0.83,0.68,0.4,1.56,1.1,1.16,0.92,1.09,1.11,1.35,3.49,1.46,1.37
g_0,1.86,0.62,0.53,0.77,0.66,0.61,1.01,1.16,1.0,0.73,1.0,2.31,1.09,1.04,1.03,1.25
e_0,0.84,0.98,0.5,0.84,0.64,0.81,1.32,1.13,1.43,1.07,1.22,1.01,1.32,1.01,1.03,3.19
