,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,88.7,41.63,83.85,74.51,125.69,330.99,9737.94,23569.87,23064.07,46312.5,37336.56,64582.26,119696.67,104953.03,79538.01,229651.79
f_1,64.41,89.73,68.19,79.84,111.54,282.42,7693.86,14181.76,20944.17,33390.47,34046.74,31426.28,91752.05,108224.09,91027.42,190093.12
c_1,32.79,35.67,128.7,85.49,163.8,303.17,8554.48,10583.63,9691.69,23287.41,28305.16,41413.46,80607.33,67847.82,119424.94,174438.73
d_1,36.81,36.66,37.23,156.1,88.66,300.66,7767.17,8342.73,31122.83,44653.31,33749.55,51427.72,91936.73,80934.06,96301.19,163681.26
b_1,25.54,33.32,44.12,64.5,206.35,451.79,6595.09,12302.49,17030.13,20086.14,22230.05,44225.79,78720.27,65265.76,79551.36,124493.95
a_1,18.99,25.56,35.66,42.66,45.28,515.75,5038.48,8769.28,15755.35,24521.85,19924.11,28836.36,69135.8,33416.63,67378.06,98406.92
h_1,8.8,13.44,15.52,18.66,25.1,76.63,3628.03,2698.6,5521.42,9561.44,10059.59,14031.94,15346.12,19020.02,27637.25,53975.27
d_0,7.82,8.02,23.89,11.4,23.09,61.3,2076.14,4402.57,3890.24,8488.35,8156.46,11446.45,21572.12,19252.51,24217.06,46164.3
c_0,8.54,8.28,8.71,13.63,18.52,56.21,1704.07,2768.32,6383.84,11182.6,7016.72,11018.54,19795.29,18209.66,21320.75,32556.73
b_0,7.13,7.62,11.61,10.58,9.72,36.77,1443.63,2436.09,3589.63,9793.73,6149.9,7861.78,17350.56,26267.19,17281.94,34770.84
g_1,5.78,6.29,9.37,14.85,17.29,46.51,1489.22,1727.82,3847.62,6293.0,11431.75,10571.28,12945.12,14328.3,17047.95,21936.62
f_0,4.13,5.27,10.05,12.46,13.41,43.2,1369.15,2149.21,3235.23,6014.81,6150.66,13211.95,16657.77,11811.37,30019.75,27436.83
h_0,4.41,6.3,8.24,10.17,11.82,37.84,888.5,1561.32,2897.02,4756.88,6664.43,6069.84,10184.55,10224.72,13444.15,27747.67
a_0,5.03,4.79,8.9,9.46,11.59,24.44,1200.09,1952.93,2600.83,3897.44,5446.89,7227.7,12620.75,19055.17,14771.25,25740.54
e_0,3.05,5.58,6.46,10.93,11.41,36.1,983.97,1363.3,2616.74,4251.02,5190.81,5308.75,13516.35,10589.43,21970.17,23008.37
g_0,3.03,3.61,6.86,11.11,12.21,28.58,856.23,1185.73,2440.88,3373.31,2643.58,7944.84,9883.11,8026.86,11282.35,16257.78
