,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.66,1.41,1.36,1.23,1.2,1.15,0.54,0.41,0.69,0.51,0.47,0.44,0.38,0.48,0.27,0.4
f_1,1.2,0.66,1.48,1.39,1.23,1.12,0.44,0.61,0.49,0.43,0.4,0.55,0.27,0.38,0.44,0.34
e_1,1.5,0.85,0.66,1.43,1.29,1.26,0.68,0.63,0.59,0.53,0.54,0.53,0.39,0.45,0.37,0.57
c_1,1.74,1.36,1.25,0.63,1.53,1.19,0.63,0.59,0.33,0.55,0.44,0.55,0.46,0.42,0.37,0.47
b_1,1.48,1.68,1.37,0.91,0.62,1.64,0.67,0.64,0.54,0.57,0.84,0.54,0.45,0.6,0.47,0.5
a_1,1.48,2.09,1.65,1.87,0.95,0.57,0.91,0.94,0.69,0.64,0.72,0.57,0.6,1.04,0.58,0.62
h_1,2.07,2.17,1.79,1.9,2.26,1.62,0.57,1.0,0.71,0.6,0.68,0.65,0.82,0.64,0.69,0.69
g_1,2.14,2.13,2.09,2.0,2.45,1.67,0.73,0.55,0.76,0.81,0.8,0.85,0.53,0.7,0.65,0.72
d_0,2.7,2.25,1.35,2.72,2.2,2.0,0.96,1.09,0.61,0.76,0.89,0.66,0.72,0.64,0.66,0.82
c_0,1.36,2.44,2.1,4.21,2.21,2.05,1.17,1.02,1.04,0.62,1.03,0.78,0.72,0.73,0.58,0.79
b_0,2.04,2.61,2.13,3.06,2.77,1.81,1.1,0.95,0.78,0.49,0.59,0.75,0.63,0.78,0.65,0.64
f_0,2.12,3.42,2.29,2.21,2.22,2.29,1.11,0.75,1.01,0.87,0.98,0.58,0.73,0.89,0.5,1.16
h_0,2.44,2.8,2.76,2.23,2.62,2.04,1.31,1.16,0.94,0.88,0.86,0.91,0.9,0.79,0.78,0.72
a_0,2.38,2.93,2.76,2.45,2.66,2.62,1.18,1.38,1.19,0.87,0.66,0.77,0.79,0.57,0.78,0.84
g_0,2.92,2.62,2.72,3.08,2.47,2.0,1.0,1.82,0.96,1.07,0.99,1.06,0.64,0.94,0.94,0.97
e_0,2.57,4.12,3.84,2.76,2.61,2.44,1.12,1.09,0.84,0.87,1.26,0.5,0.94,1.01,0.69,0.56
