,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.18,1.73,0.85,2.04,1.97,1.84,0.58,0.57,0.3,0.29,0.45,0.39,0.38,1.61,0.41,0.35
d_1,1.89,0.17,1.74,1.68,1.71,1.71,0.49,0.27,1.12,0.29,0.32,0.27,0.24,0.37,0.31,0.14
f_1,1.95,1.53,0.16,1.72,1.61,1.39,0.29,0.63,0.41,0.34,0.28,1.46,0.14,0.34,0.29,0.28
c_1,1.36,2.17,1.72,0.15,1.97,1.36,0.61,0.47,0.17,1.33,0.33,0.34,0.28,0.32,0.36,0.21
b_1,1.78,1.62,2.14,0.84,0.13,1.95,0.46,0.5,0.37,0.49,2.36,0.31,0.25,0.36,0.34,0.36
a_1,1.84,1.74,2.14,1.73,0.9,0.1,0.56,0.45,0.32,0.39,0.39,0.44,0.21,0.32,2.27,0.26
h_1,0.9,0.85,0.95,1.1,0.88,0.93,0.06,0.29,0.2,0.19,0.18,0.18,0.58,0.24,0.25,0.15
g_1,0.89,0.82,1.17,0.94,0.91,0.99,0.2,0.06,0.26,0.21,0.22,0.25,0.11,0.14,0.21,0.32
d_0,0.51,3.36,0.96,0.86,0.82,1.51,0.3,0.33,0.08,0.25,0.18,0.18,0.14,0.16,0.17,0.14
c_0,1.0,0.48,0.98,4.6,0.98,0.86,0.26,0.31,0.27,0.07,0.2,0.24,0.12,0.17,0.17,0.17
b_0,1.0,0.67,0.84,1.12,2.65,0.81,0.28,0.28,0.3,0.11,0.06,0.2,0.11,0.15,0.15,0.12
f_0,0.72,0.9,4.73,0.97,0.84,0.96,0.26,0.15,0.2,0.17,0.18,0.06,0.14,0.18,0.13,0.09
h_0,0.86,0.8,1.25,0.96,0.83,0.84,0.58,0.32,0.2,0.16,0.18,0.15,0.37,0.16,0.16,0.1
e_0,2.12,0.81,1.38,1.15,0.93,0.66,0.21,0.21,0.17,0.19,0.18,0.09,0.12,0.04,0.19,0.09
a_0,0.74,0.73,0.97,1.05,1.74,,0.27,0.31,0.24,0.18,0.07,0.19,0.15,0.14,0.04,0.13
g_0,0.88,1.03,0.94,1.21,0.95,0.93,0.16,0.57,0.17,0.22,0.18,0.14,0.11,0.17,0.2,0.39
