,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,6.22,2.52,2.08,1.64,2.04,2.38,8.62,5.92,18.55,8.36,12.69,11.73,15.83,13.51,12.31,15.84
f_1,1.93,6.16,3.77,2.16,1.87,2.09,8.4,10.74,9.93,7.67,9.89,6.94,15.13,9.77,7.47,14.16
e_1,1.78,2.27,6.49,2.71,2.32,2.07,7.92,19.01,9.92,7.87,9.4,10.38,16.41,11.35,8.34,16.54
c_1,2.27,2.07,1.89,6.78,4.17,1.95,7.64,9.39,5.91,7.47,7.27,10.14,15.62,10.55,11.73,14.95
b_1,2.21,2.2,1.86,2.4,7.69,4.37,8.49,11.35,8.22,7.78,7.36,10.71,14.96,8.12,10.8,14.39
a_1,2.38,2.69,2.18,2.44,1.69,10.25,8.62,9.0,9.19,8.3,10.62,10.17,17.56,6.56,10.33,16.33
h_1,2.48,3.49,2.45,2.34,2.38,2.39,17.62,8.91,10.52,10.88,10.55,11.88,12.57,9.5,12.66,22.36
d_0,1.52,2.24,2.2,4.6,2.91,2.58,8.7,17.49,7.67,8.89,11.13,10.86,17.2,11.98,11.73,17.53
c_0,2.83,2.79,2.4,2.03,1.86,2.16,9.63,11.0,18.28,9.79,20.14,13.42,17.37,16.42,13.15,18.37
g_1,3.82,2.09,1.77,2.45,2.53,2.1,7.93,8.94,10.95,21.55,11.88,18.81,17.63,9.21,14.54,13.89
b_0,2.95,2.84,2.31,2.57,1.54,1.76,9.62,10.19,12.54,9.63,21.45,12.57,21.28,25.65,14.59,18.43
f_0,3.12,1.92,2.03,2.57,2.86,2.02,8.79,9.12,13.48,10.23,13.02,22.8,20.2,12.8,30.64,18.76
h_0,2.7,3.17,2.17,2.55,2.45,2.39,7.0,10.24,10.8,13.58,12.16,11.36,12.84,12.82,13.25,23.8
a_0,2.74,2.62,2.44,2.69,2.39,1.33,10.81,11.9,12.72,10.76,13.61,11.9,20.68,27.19,13.63,18.88
e_0,2.78,2.73,1.93,2.48,2.98,2.0,8.41,10.61,12.1,9.82,10.64,14.12,22.14,13.79,28.1,23.66
g_0,3.98,2.15,1.82,2.5,2.58,2.5,8.44,7.98,12.03,7.27,11.01,17.81,16.75,13.14,16.03,14.55
