,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.82,0.7,0.82,0.93,0.73,0.34,0.34,0.47,0.32,0.38,0.45,0.24,0.32,0.32,0.37
e_1,0.59,0.41,0.79,0.91,0.76,0.85,0.53,0.45,0.5,0.44,0.33,0.44,0.35,0.4,0.69,0.39
d_1,0.91,0.88,0.4,0.79,0.72,0.73,0.4,0.59,0.31,0.41,0.34,0.3,0.34,0.33,0.35,0.21
c_1,0.75,0.69,1.12,0.39,0.92,0.74,0.45,0.23,0.43,0.45,0.35,0.37,0.33,0.35,0.36,0.32
b_1,0.79,0.95,0.88,0.51,0.36,1.03,0.5,0.39,0.42,0.4,0.61,0.3,0.31,0.33,0.29,0.29
a_1,0.96,0.78,0.82,0.97,0.44,0.3,0.49,0.41,0.46,0.39,0.48,0.42,0.3,0.69,0.45,0.36
h_1,0.77,0.68,0.71,0.71,0.7,0.67,0.25,0.34,0.48,0.31,0.31,0.33,0.36,0.29,0.31,0.28
d_0,0.72,0.45,0.98,0.83,0.8,0.72,0.4,0.25,0.4,0.35,0.3,0.36,0.28,0.35,0.31,0.33
g_1,0.72,0.72,0.81,0.79,0.77,0.63,0.28,0.38,0.22,0.26,0.31,0.33,0.23,0.36,0.28,0.28
c_0,0.83,0.72,0.44,1.12,0.8,0.69,0.42,0.42,0.45,0.24,0.38,0.34,0.29,0.32,0.31,0.29
b_0,0.71,0.76,0.65,0.84,1.1,0.6,0.4,0.37,0.34,0.2,0.23,0.33,0.25,0.38,0.31,0.25
f_0,1.0,0.69,0.73,0.75,0.84,0.57,0.42,0.31,0.25,0.31,0.31,0.22,0.27,0.3,0.34,0.18
h_0,0.83,0.7,0.6,0.7,0.83,0.61,0.45,0.33,0.43,0.3,0.32,0.27,0.32,0.32,0.3,0.3
a_0,0.9,0.69,0.6,0.71,0.91,0.68,0.42,0.38,0.37,0.28,0.19,0.29,0.27,0.2,0.39,0.25
e_0,0.96,0.77,0.65,0.75,0.94,0.61,0.36,0.31,0.37,0.28,0.27,0.18,0.25,0.32,0.19,0.29
g_0,0.75,0.68,0.8,0.85,0.67,0.58,0.31,0.3,0.45,0.3,0.31,0.33,0.23,0.33,0.26,0.3
