,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,6.15,11.27,8.15,7.74,6.31,3.15,3.47,2.97,2.63,2.19,3.37,2.11,2.91,,2.26
f_1,10.18,1.07,8.16,8.74,8.12,7.78,2.6,3.49,3.03,2.78,2.5,,1.84,2.1,2.08,2.07
d_1,8.84,9.91,1.07,9.49,8.26,9.47,3.63,2.72,,4.13,2.79,2.54,2.11,2.57,2.4,1.33
c_1,11.34,9.68,10.55,1.07,10.39,10.23,3.81,3.44,1.94,,3.33,2.56,2.75,2.6,2.71,1.99
b_1,12.27,10.63,12.69,6.79,1.07,,3.22,4.01,3.29,4.13,,3.14,2.48,2.9,2.85,2.58
a_1,19.61,14.8,16.09,16.98,,1.07,7.63,6.15,5.58,5.0,4.25,5.11,3.25,,,2.83
h_1,16.22,17.11,15.51,14.53,17.1,9.14,1.41,6.07,3.65,4.27,4.13,5.14,,2.68,4.95,3.07
g_1,19.56,14.34,16.01,15.04,16.39,13.05,4.75,1.41,4.32,4.05,5.98,5.13,3.39,,5.02,
d_0,9.13,14.25,,16.69,12.45,12.4,5.38,6.26,1.7,4.09,3.54,4.4,3.57,4.39,2.64,3.52
c_0,13.93,16.72,7.89,,13.73,11.54,4.91,5.45,5.9,1.67,5.71,4.18,3.08,4.04,3.89,2.96
b_0,18.31,17.72,15.24,18.84,,13.58,6.09,4.37,6.19,2.69,1.75,4.51,3.96,4.46,3.61,4.75
f_0,21.69,,17.9,21.25,15.42,13.3,5.52,4.18,5.6,5.23,5.21,1.71,3.5,5.1,5.88,2.05
h_0,16.25,16.55,15.25,14.87,15.17,12.5,,5.92,3.94,5.18,4.28,3.53,,4.61,4.25,3.68
a_0,17.77,26.01,25.88,17.3,28.1,,10.89,,5.2,7.37,3.74,5.88,4.06,1.69,,
e_0,,26.08,22.09,18.45,28.26,,8.44,5.95,8.95,6.93,7.81,3.22,5.33,,1.69,5.32
g_0,20.28,22.38,23.95,23.11,18.42,19.62,5.83,,5.88,6.5,4.72,7.15,2.91,,3.86,
