,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.15,0.88,1.08,0.91,0.78,0.57,0.73,0.8,0.64,0.52,,0.56,0.55,0.55,0.61
e_1,0.87,1.0,0.84,0.88,0.85,0.83,0.62,1.15,0.58,0.63,0.55,0.65,0.61,0.43,0.74,
d_1,1.14,1.19,1.0,0.81,1.01,0.76,0.75,,0.45,1.02,0.6,0.52,0.49,0.75,0.46,0.6
c_1,0.93,1.13,1.24,1.0,1.26,0.8,0.63,0.44,0.91,,0.59,0.72,0.66,0.69,0.5,0.52
b_1,1.1,1.17,0.99,0.79,1.0,1.67,0.78,0.79,0.7,0.73,,0.61,0.5,0.48,0.6,0.46
a_1,1.28,1.2,1.31,1.25,0.6,1.0,,0.75,,0.55,0.87,0.71,0.86,,0.56,
h_1,1.76,1.62,1.33,1.6,1.28,,1.0,0.82,1.13,0.83,0.9,0.75,,0.78,0.84,0.94
d_0,1.37,0.87,,2.26,1.26,1.33,1.21,1.0,1.26,0.97,0.97,1.19,0.77,0.69,1.07,1.02
g_1,1.25,1.73,2.22,1.1,1.42,,0.89,0.8,1.0,0.94,1.07,1.35,0.92,0.87,,0.81
c_0,1.56,1.6,0.98,,1.36,1.8,1.2,1.03,1.06,1.0,1.24,0.96,1.01,0.88,0.98,0.7
b_0,1.94,1.8,1.67,1.7,,1.15,1.11,1.03,0.93,0.8,1.0,0.76,0.96,1.34,0.64,0.78
f_0,,1.55,1.91,1.39,1.63,1.41,1.33,0.84,0.74,1.04,1.31,1.0,1.03,0.91,0.65,1.21
h_0,1.77,1.64,2.04,1.52,2.0,1.16,,1.29,1.08,0.99,1.04,0.97,,0.92,0.99,0.92
a_0,1.81,2.34,1.33,1.45,2.1,,1.29,1.45,1.15,1.14,0.75,1.1,1.08,1.0,1.25,
g_0,1.82,1.35,2.19,1.99,1.67,1.79,1.19,0.94,,1.02,1.56,1.54,1.01,0.8,,
e_0,1.65,,1.68,1.91,2.16,,1.06,0.98,1.24,1.44,1.28,0.83,1.08,,,1.0
