,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,14.04,0.63,0.79,0.46,0.55,0.5,0.91,1.98,0.78,1.16,0.8,0.98,1.01,1.01,0.46,0.95
f_1,1.21,14.05,0.54,0.56,0.53,0.43,0.71,0.8,0.76,0.72,0.72,0.38,0.8,1.04,0.68,0.8
c_1,0.47,0.51,17.05,0.6,1.3,0.58,0.98,0.84,0.25,0.49,0.71,0.72,0.81,0.68,1.1,0.92
d_1,0.58,0.57,0.33,19.92,0.5,0.6,0.96,0.36,2.25,1.38,1.14,1.16,1.09,0.99,1.08,1.14
b_1,0.41,0.57,0.6,0.62,20.0,1.46,0.76,0.94,0.81,0.41,0.64,0.92,0.86,0.75,0.88,0.78
a_1,0.43,0.64,0.62,0.6,0.49,30.38,0.95,0.9,1.2,1.06,0.86,1.02,1.43,0.45,1.14,0.9
h_1,0.62,1.22,0.78,0.71,0.63,0.67,4.98,0.8,1.28,1.27,1.56,1.44,0.58,0.99,1.29,1.6
d_0,0.75,0.59,2.32,0.32,0.71,0.63,1.15,2.82,0.77,1.21,1.05,1.28,1.11,1.16,1.19,1.33
c_0,0.89,0.8,0.36,0.91,0.55,0.67,1.15,1.13,3.4,2.97,1.37,1.42,1.4,1.52,1.23,1.17
b_0,0.93,0.92,0.75,0.67,0.27,0.46,1.31,1.28,1.56,4.31,1.34,1.26,1.31,3.73,1.16,1.42
g_1,0.65,0.66,0.67,1.29,0.64,0.63,1.46,0.72,1.27,1.4,7.99,2.31,1.18,1.38,1.26,0.78
f_0,0.44,0.47,0.92,1.0,0.6,0.8,1.36,1.24,1.28,1.41,1.78,5.19,1.73,1.22,4.02,1.58
h_0,0.62,1.11,0.78,0.87,0.59,0.7,0.69,0.96,1.23,1.26,2.23,1.22,0.91,1.11,1.29,1.73
a_0,0.87,0.79,0.83,0.84,0.52,0.34,1.39,1.36,1.14,1.25,1.86,1.33,1.22,4.53,1.36,1.37
e_0,0.31,0.94,0.69,1.35,0.77,0.68,1.07,0.93,1.22,1.17,1.79,1.38,1.66,1.25,4.89,1.35
g_0,0.46,0.57,0.83,1.7,0.74,0.61,1.28,0.83,1.32,1.07,0.7,2.69,1.33,1.06,1.49,1.0
