,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.3,0.66,0.46,0.63,0.46,0.36,0.99,1.07,2.25,1.28,1.21,1.19,0.94,1.65,1.31,0.7
f_1,0.97,2.31,0.61,0.58,0.4,0.44,1.16,0.82,1.11,0.96,1.18,0.47,0.98,1.18,1.37,0.56
d_1,0.56,0.66,2.39,0.46,0.51,0.44,1.09,1.06,0.53,2.26,1.4,1.19,1.09,1.5,1.22,0.84
c_1,0.58,0.64,0.54,2.42,0.95,0.31,0.98,0.84,1.14,0.47,0.74,1.09,0.9,1.52,1.2,0.94
b_1,0.58,0.61,0.59,0.55,2.64,0.8,0.93,0.84,0.95,0.91,0.47,1.1,0.86,1.4,1.08,0.87
a_1,0.49,0.57,0.6,0.71,0.47,3.19,1.21,1.03,1.2,1.24,1.19,1.08,0.45,1.7,1.26,1.32
h_1,0.75,0.98,0.66,0.69,0.66,0.34,3.06,1.53,1.39,1.46,1.46,1.38,1.15,1.32,2.0,1.25
g_1,0.63,0.49,1.07,0.76,0.56,0.54,1.21,3.18,1.12,1.51,1.25,2.35,1.13,1.46,1.1,1.31
d_0,0.67,0.73,0.5,1.23,0.55,0.48,1.12,1.24,2.69,0.95,1.3,1.52,0.96,1.69,1.48,1.31
c_0,0.67,0.84,0.83,0.49,0.43,0.53,1.18,1.26,1.37,2.74,2.64,1.63,1.48,1.99,1.56,1.09
b_0,0.66,0.84,0.76,0.79,0.35,0.57,1.25,1.39,1.38,1.36,2.96,1.64,2.47,1.96,1.86,1.17
f_0,0.51,0.47,0.9,0.79,0.59,0.54,1.63,1.55,1.57,1.52,1.52,3.03,1.49,2.0,1.54,2.58
a_0,0.7,0.78,0.97,0.71,0.61,0.27,1.42,1.31,1.35,1.26,1.67,1.47,3.04,1.58,1.87,1.36
h_0,0.64,1.06,0.8,0.69,0.61,0.5,0.81,1.46,1.13,1.27,1.24,1.2,1.35,0.96,2.13,1.0
g_0,0.62,0.66,1.06,0.58,0.69,0.46,1.17,1.1,1.5,1.55,1.28,2.24,1.32,2.02,1.13,1.37
e_0,0.36,0.91,0.82,0.84,0.74,0.51,1.42,1.24,1.49,1.45,1.25,1.55,1.19,1.74,1.66,3.13
