,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.82,1.66,1.39,1.9,1.54,1.39,5.96,5.34,12.35,5.69,7.35,7.43,10.47,9.32,7.09,5.6
f_1,2.75,5.96,1.32,1.5,1.19,1.33,5.37,5.11,7.52,7.08,7.62,3.51,8.93,9.11,6.49,5.99
d_1,1.35,1.67,6.52,1.1,1.6,1.49,5.66,6.17,3.88,13.69,8.81,8.52,12.42,11.12,7.96,7.66
c_1,1.45,1.45,1.59,6.67,2.72,1.53,5.14,5.23,6.43,3.49,4.76,6.44,10.91,10.88,8.43,7.0
b_1,1.41,1.53,1.55,1.6,7.31,2.85,4.42,4.37,6.99,7.53,4.12,7.6,11.79,11.02,6.44,8.53
a_1,1.44,1.63,1.4,1.78,1.64,10.78,6.09,6.34,6.71,5.1,8.02,7.51,11.55,10.56,4.45,7.88
h_1,1.65,2.38,1.98,1.93,1.7,1.53,15.93,9.03,7.11,8.16,9.53,11.07,8.88,18.29,10.25,10.74
g_1,1.68,1.68,2.95,1.9,1.49,1.55,6.82,19.55,5.96,9.04,8.99,15.56,12.26,9.34,10.52,10.51
d_0,1.77,2.06,1.09,3.68,1.9,1.63,6.47,6.56,15.46,6.11,9.45,10.31,13.57,13.01,9.59,10.27
c_0,2.06,1.78,2.16,1.4,1.39,1.91,7.94,7.46,9.55,17.6,19.53,10.63,12.73,16.91,12.57,9.18
b_0,1.7,2.21,2.19,2.15,1.36,1.61,7.59,6.92,8.72,7.9,19.89,9.03,14.25,16.37,21.57,10.05
f_0,1.39,1.26,2.19,2.15,1.91,2.22,6.3,7.48,8.89,10.26,9.93,20.36,14.96,17.76,11.99,22.74
h_0,1.78,3.01,1.84,1.89,1.63,1.72,5.01,8.79,8.21,8.31,8.57,7.91,9.86,17.75,10.0,8.96
g_0,1.55,1.68,3.19,2.0,1.82,1.77,6.56,4.37,7.51,7.23,9.11,13.89,13.59,9.06,7.55,7.92
a_0,1.86,2.16,1.74,2.17,1.84,1.21,7.41,6.31,9.09,10.66,10.52,9.97,16.45,14.11,26.86,8.62
e_0,0.85,1.88,2.14,2.32,1.93,2.02,8.68,7.25,8.89,9.41,10.33,11.16,14.04,16.25,10.51,27.11
