,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.16,0.23,0.39,0.4,0.36,0.36,0.1,0.08,0.08,0.11,0.08,0.09,0.07,0.06,0.11,0.05
f_1,0.35,0.16,0.38,0.31,0.36,0.3,0.08,0.08,0.07,0.1,0.07,0.1,0.06,0.04,0.07,0.06
c_1,0.29,0.35,0.15,0.44,0.34,0.34,0.11,0.05,0.09,0.11,0.08,0.08,0.06,0.05,0.06,0.05
d_1,0.45,0.42,0.35,0.15,0.32,0.31,0.08,0.11,0.07,0.07,0.06,0.07,0.07,0.05,0.06,0.03
b_1,0.36,0.4,0.22,0.36,0.13,0.35,0.11,0.07,0.1,0.11,0.1,0.08,0.09,0.06,0.06,0.05
a_1,0.4,0.42,0.32,0.4,0.21,0.09,0.1,0.08,0.08,0.11,0.08,0.08,0.13,0.05,0.07,0.05
h_1,0.34,0.34,0.32,0.3,0.29,0.27,0.05,0.07,0.07,0.09,0.07,0.06,0.06,0.06,0.06,0.05
d_0,0.21,0.3,0.34,0.41,0.32,0.34,0.11,0.05,0.08,0.11,0.07,0.07,0.07,0.05,0.07,0.05
c_0,0.36,0.35,0.46,0.2,0.33,0.29,0.09,0.09,0.05,0.08,0.07,0.06,0.07,0.06,0.08,0.04
g_1,0.35,0.36,0.33,0.3,0.33,0.3,0.07,0.08,0.06,0.04,0.06,0.07,0.06,0.04,0.06,0.05
b_0,0.3,0.31,0.44,0.28,0.39,0.3,0.09,0.07,0.04,0.09,0.05,0.06,0.07,0.05,0.07,0.04
f_0,0.29,0.44,0.34,0.32,0.3,0.34,0.09,0.07,0.07,0.06,0.07,0.04,0.06,0.05,0.06,0.03
a_0,0.29,0.32,0.41,0.29,0.4,0.41,0.09,0.07,0.06,0.09,0.04,0.06,0.04,0.05,0.07,0.04
h_0,0.32,0.31,0.36,0.33,0.31,0.25,0.11,0.07,0.06,0.08,0.07,0.07,0.06,0.06,0.06,0.05
e_0,0.36,0.46,0.31,0.35,0.32,0.25,0.08,0.07,0.07,0.07,0.06,0.04,0.06,0.05,0.03,0.04
g_0,0.31,0.33,0.32,0.32,0.3,0.28,0.07,0.08,0.06,0.1,0.06,0.08,0.06,0.04,0.07,0.05
