,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.87,1.1,1.38,1.7,4.23,17.85,26.42,43.39,32.88,41.82,50.92,73.18,83.91,125.52,189.12
f_1,1.15,1.0,1.12,1.18,1.53,4.15,15.92,28.07,28.22,25.47,35.02,37.58,66.7,50.81,133.56,84.85
d_1,0.91,0.9,1.0,1.01,1.54,3.41,16.44,17.18,21.83,33.38,35.81,33.44,55.5,60.88,81.35,92.87
c_1,0.73,0.84,0.99,1.0,2.03,2.36,13.65,16.75,16.36,20.39,23.69,30.44,52.96,60.15,100.77,96.38
b_1,0.59,0.65,0.65,0.49,1.0,3.12,9.13,12.68,15.17,16.61,19.28,27.35,37.08,39.05,57.7,57.86
a_1,0.24,0.24,0.3,0.42,0.32,1.0,5.91,5.87,7.72,7.49,8.9,10.06,17.17,19.41,29.56,36.69
h_1,0.06,0.06,0.06,0.07,0.11,0.17,1.0,1.58,1.74,1.83,2.14,2.17,3.79,4.8,8.23,7.16
g_1,0.04,0.04,0.06,0.06,0.08,0.18,0.64,1.0,1.12,1.29,1.31,2.02,2.63,2.46,4.37,5.24
d_0,0.02,0.04,0.05,0.06,0.06,0.13,0.58,0.91,1.0,0.88,1.22,1.48,2.12,2.58,3.84,4.2
c_0,0.03,0.04,0.03,0.05,0.06,0.14,0.54,0.81,1.1,1.0,1.64,1.49,2.5,2.47,3.75,4.15
b_0,0.02,0.03,0.03,0.04,0.05,0.11,0.47,0.75,0.81,0.6,1.0,1.19,2.59,2.3,3.91,3.38
f_0,0.02,0.03,0.03,0.03,0.04,0.09,0.47,0.5,0.69,0.68,0.83,1.0,1.76,1.98,2.15,4.08
a_0,0.01,0.01,0.02,0.02,0.03,0.06,0.26,0.39,0.46,0.38,0.43,0.62,1.0,0.85,1.76,2.24
h_0,0.01,0.02,0.02,0.02,0.02,0.05,0.21,0.4,0.39,0.41,0.45,0.51,1.09,1.01,1.9,1.6
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.12,0.23,0.27,0.27,0.27,0.46,0.55,0.53,1.0,1.02
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.19,0.23,0.24,0.29,0.25,0.45,0.57,0.9,1.0
