,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.52,0.73,0.71,0.58,0.65,0.51,0.75,0.65,1.28,0.59,0.95,0.79,0.94,0.83,0.65,0.59
e_1,0.6,1.52,0.61,0.83,0.65,0.6,0.9,0.79,0.88,1.34,0.92,0.83,0.86,0.82,0.68,0.46
f_1,0.72,1.12,1.53,0.68,0.51,0.52,0.77,0.62,0.65,0.75,0.75,0.51,0.73,0.66,0.57,0.57
c_1,0.69,0.6,0.73,1.56,1.05,0.51,0.87,0.76,0.48,0.68,0.47,0.61,0.89,0.88,0.64,0.77
b_1,0.75,0.72,0.84,0.59,1.6,0.97,0.66,0.69,0.73,0.8,0.55,0.77,0.89,0.85,0.48,0.64
a_1,0.86,0.78,0.78,0.78,0.58,1.76,0.81,0.74,0.91,0.85,0.95,0.97,1.04,0.74,0.67,0.69
h_1,1.04,0.66,1.1,0.82,0.96,0.65,1.74,1.32,1.12,1.0,0.92,0.95,0.78,1.36,0.92,1.0
g_1,1.48,0.76,0.97,0.81,0.89,0.76,0.89,1.81,0.95,0.73,0.98,1.26,0.93,0.78,1.0,0.91
c_0,0.93,1.0,1.13,0.72,0.73,0.71,1.13,1.14,1.61,1.2,1.82,0.98,1.36,1.16,1.14,0.96
d_0,0.69,0.76,1.11,1.57,0.85,0.65,1.22,1.16,0.85,1.6,0.94,1.07,1.24,1.17,0.97,0.99
b_0,1.02,0.88,1.1,1.24,0.56,0.56,1.12,1.07,0.93,1.36,1.66,0.96,1.27,1.06,1.97,0.88
f_0,1.17,0.93,0.7,1.15,0.85,0.66,1.21,0.99,1.16,1.22,1.17,1.65,1.32,1.03,0.97,1.54
h_0,1.01,1.01,1.44,1.02,0.87,0.62,0.9,1.41,1.07,1.12,1.17,0.95,0.94,1.49,0.71,1.02
g_0,1.37,1.0,1.08,0.95,0.81,0.91,1.02,0.9,1.18,1.12,1.13,1.63,1.09,0.99,1.07,1.11
a_0,1.1,0.92,1.13,1.23,1.19,0.37,1.06,1.11,1.01,1.12,0.85,1.14,1.69,1.12,1.77,1.03
e_0,1.28,0.69,1.2,0.94,1.05,0.69,1.17,1.11,1.24,1.12,1.27,0.95,1.41,1.03,1.11,1.78
