,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.41,4.48,3.12,3.37,3.23,2.98,1.69,1.54,1.56,2.19,1.73,,1.54,1.1,1.74,1.75
e_1,2.37,0.41,4.49,3.33,3.37,4.09,1.64,1.51,1.59,2.12,1.76,2.36,1.75,1.28,,1.53
d_1,3.97,3.74,0.39,3.37,3.47,4.3,2.45,1.65,,1.41,1.49,1.7,1.73,1.19,1.75,0.92
c_1,3.9,4.48,4.81,0.39,5.67,3.48,1.7,,0.99,1.76,1.46,1.48,2.21,1.31,1.68,1.02
b_1,3.32,3.8,3.85,2.11,0.37,4.31,2.2,1.57,1.85,2.19,,1.42,1.42,1.76,1.23,1.51
a_1,4.33,3.88,3.82,4.06,2.27,0.32,2.47,1.76,1.85,1.67,1.64,1.32,,1.26,1.87,1.42
h_1,1.73,1.96,1.91,2.37,2.02,1.46,0.27,0.99,0.87,1.25,0.74,0.87,0.65,,0.63,0.58
c_0,1.65,1.88,1.02,,1.79,1.55,0.74,0.3,0.68,0.93,0.82,0.76,0.68,0.55,0.81,0.59
d_0,1.73,1.08,,1.7,1.34,1.68,0.82,0.96,0.29,0.87,0.79,0.83,0.66,0.46,1.15,0.59
g_1,1.87,1.71,1.96,1.76,1.53,2.26,0.94,0.74,0.94,0.24,0.72,0.88,0.79,0.84,,
b_0,1.44,1.71,1.53,2.09,,1.72,0.88,0.46,0.72,0.93,0.29,0.76,1.09,0.52,0.78,0.6
f_0,,1.4,1.53,1.48,1.77,1.86,0.74,0.89,0.61,0.63,0.79,0.27,1.13,0.65,0.84,0.46
a_0,1.75,1.67,1.73,1.47,2.13,,0.79,0.77,0.82,0.79,0.42,0.59,0.23,0.7,0.87,
h_0,1.63,1.25,1.29,1.31,1.19,1.32,,0.51,0.83,0.56,0.68,0.62,0.47,,0.39,0.59
e_0,1.65,,1.65,1.59,2.18,1.47,0.87,0.7,0.58,,0.89,0.41,0.6,0.66,0.22,
g_0,1.37,1.15,1.5,1.61,1.31,1.2,0.59,0.62,0.74,,0.58,0.61,,0.48,,
