,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,2.34,0.69,0.5,0.4,0.47,0.47,1.16,0.58,2.19,0.91,1.38,1.24,1.42,1.14,1.06,1.21
f_1,0.5,2.32,1.03,0.56,0.41,0.4,1.07,1.16,1.18,0.81,1.1,0.51,1.5,0.78,0.58,1.02
e_1,0.49,0.63,2.4,0.66,0.52,0.42,0.9,2.29,1.13,0.91,1.02,1.11,1.58,0.98,0.52,1.34
c_1,0.62,0.51,0.51,2.44,1.0,0.31,1.0,1.14,0.52,0.88,0.8,1.08,1.4,0.96,1.0,1.3
b_1,0.59,0.55,0.48,0.6,2.6,0.87,1.05,1.34,0.89,0.91,0.59,1.1,1.27,0.6,1.0,1.03
a_1,0.63,0.77,0.53,0.58,0.36,3.0,1.07,1.08,1.06,0.96,1.1,1.11,1.66,0.5,0.84,1.34
h_1,0.76,1.01,0.67,0.68,0.61,0.54,3.03,1.25,1.4,1.36,1.22,1.34,1.11,1.06,1.22,1.85
d_0,0.32,0.64,0.61,1.26,0.74,0.65,1.27,2.68,1.1,1.1,1.49,1.27,1.86,1.23,1.1,1.71
c_0,0.85,0.76,0.68,0.47,0.51,0.52,1.52,1.49,2.67,1.26,2.59,1.62,1.86,1.58,1.17,1.68
g_1,1.16,0.58,0.52,0.7,0.68,0.47,1.21,1.16,1.39,3.32,1.39,2.3,1.87,0.86,1.29,1.12
b_0,0.82,0.81,0.7,0.74,0.32,0.39,1.49,1.4,1.72,1.24,3.05,1.5,2.3,2.64,1.45,1.78
f_0,0.9,0.42,0.58,0.72,0.76,0.4,1.22,1.22,1.77,1.4,1.56,3.03,2.02,1.22,2.86,1.5
h_0,0.72,1.0,0.61,0.67,0.63,0.59,0.81,1.35,1.48,1.66,1.57,1.33,1.11,1.31,1.23,2.25
a_0,0.85,0.78,0.69,0.79,0.53,0.24,1.53,1.56,1.61,1.23,1.64,1.34,2.21,3.24,1.37,1.58
e_0,0.83,0.79,0.47,0.7,0.77,0.44,1.22,1.44,1.81,1.21,1.32,1.54,2.31,1.41,3.2,2.2
g_0,1.21,0.65,0.46,0.66,0.68,0.55,1.14,1.07,1.52,0.82,1.39,2.2,1.72,1.16,1.51,1.29
