,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,12.15,1.61,0.59,0.64,0.54,0.55,0.87,0.79,0.76,0.95,0.88,0.44,0.89,0.74,0.76,0.68
e_1,0.79,11.95,0.44,0.98,0.59,0.6,0.99,0.95,0.88,2.41,1.01,0.88,0.98,1.15,0.89,0.63
d_1,0.75,0.51,14.77,0.51,0.58,0.62,1.03,1.01,2.54,0.51,1.31,1.13,1.09,1.06,1.09,0.88
c_1,0.55,0.51,0.67,14.18,1.66,0.57,0.89,0.92,0.4,0.81,0.67,1.06,0.91,0.98,0.78,0.96
b_1,0.54,0.55,0.8,0.61,16.76,1.82,0.82,0.82,0.76,0.81,0.51,0.84,0.9,0.72,1.05,1.0
a_1,0.62,0.66,0.96,0.52,0.67,23.25,0.89,0.84,0.98,0.61,1.01,1.09,1.19,0.57,1.28,1.2
h_1,1.1,0.7,0.89,0.72,0.76,0.65,3.43,1.45,0.92,0.97,1.14,1.16,0.87,0.9,1.6,1.17
g_1,0.74,0.51,1.5,0.76,0.71,0.75,0.93,4.55,0.95,0.69,0.99,1.72,0.93,1.0,0.7,1.35
c_0,0.88,0.82,0.87,0.56,0.5,0.67,1.3,1.17,2.57,0.83,3.38,1.48,1.27,1.41,1.56,1.37
d_0,0.67,0.66,0.4,2.42,0.83,0.76,0.98,0.94,0.74,2.2,0.88,1.29,0.96,0.89,0.95,1.08
b_0,0.98,0.82,0.71,0.81,0.41,0.52,1.28,1.1,1.17,1.18,2.9,1.3,1.46,3.27,1.43,1.61
f_0,0.51,0.5,0.98,0.83,0.8,1.0,1.26,1.18,1.23,1.04,1.19,3.12,1.06,1.19,1.07,3.6
h_0,1.31,0.69,0.8,0.8,0.53,0.72,0.73,1.47,1.08,0.94,1.11,0.99,0.62,1.15,1.66,1.08
a_0,0.96,0.64,0.8,0.77,0.86,0.56,1.25,1.14,1.18,1.28,0.85,1.53,1.44,3.34,1.18,1.55
g_0,0.58,0.58,1.74,0.78,0.56,0.73,0.99,0.9,1.31,0.87,1.26,2.21,1.34,1.19,0.9,1.13
e_0,0.74,0.55,0.92,0.85,0.77,0.96,0.9,0.95,1.02,1.13,1.39,1.43,1.38,1.13,1.44,3.98
