,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,49.65,96.32,95.97,85.58,108.83,19.53,16.67,26.88,14.55,13.9,21.52,18.42,18.05,,12.48
f_1,93.03,1.15,79.88,105.26,104.59,89.05,13.33,16.67,29.22,16.51,17.27,,8.34,18.95,15.08,17.24
d_1,129.57,83.14,1.15,79.59,74.32,81.62,35.0,,20.36,20.37,25.91,13.79,13.81,18.05,19.05,8.42
c_1,93.03,74.48,142.39,1.15,104.59,103.11,30.0,11.29,28.0,,19.66,16.81,12.63,21.06,20.11,10.65
b_1,139.54,111.72,109.17,69.43,1.15,89.05,32.31,28.0,25.85,20.37,,25.62,14.26,23.69,21.29,15.08
a_1,145.12,123.28,172.37,155.38,70.6,1.15,64.62,33.33,44.8,40.73,51.82,41.38,27.63,,,32.91
h_1,86.38,115.32,105.65,90.64,108.62,97.95,2.0,19.44,24.89,20.37,21.92,19.93,,17.23,11.31,10.65
d_0,45.92,81.25,,98.88,88.25,75.35,24.0,3.03,24.0,21.82,20.36,21.52,11.63,14.58,19.05,12.93
g_1,190.95,143.0,93.57,108.77,141.2,130.6,31.11,26.92,2.0,25.46,28.5,22.42,11.05,25.27,22.62,
c_0,109.94,123.28,48.16,,122.78,122.44,36.52,20.0,35.37,3.02,19.0,17.35,11.95,17.23,22.62,13.41
b_0,134.37,115.32,109.17,120.85,,97.95,24.0,21.88,39.53,11.53,3.02,18.55,14.26,31.58,27.85,15.08
f_0,134.37,,125.96,93.23,112.96,178.09,33.6,25.0,16.39,22.63,23.75,3.11,13.39,29.15,,8.83
h_0,103.66,111.72,90.97,67.98,97.38,89.05,,15.91,20.36,20.37,15.41,21.52,,14.04,17.24,15.74
a_0,164.91,198.61,251.92,163.15,201.71,,31.11,41.18,48.0,35.94,16.76,29.89,31.57,3.08,,30.17
e_0,,162.5,142.39,233.07,188.27,,49.41,31.82,61.09,26.57,35.63,,20.09,,3.12,32.91
g_0,86.38,178.75,116.96,181.28,117.67,122.44,24.71,18.92,,26.57,19.0,20.69,12.28,29.15,24.13,
