,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.81,1.19,1.06,0.95,1.07,1.0,0.99,1.39,0.97,0.96,1.07,1.04,0.99,0.92,1.04
f_1,1.23,1.0,1.06,0.96,0.91,0.86,0.74,1.01,0.97,1.04,0.96,0.88,0.92,0.85,0.84,1.06
c_1,0.84,0.94,1.0,1.01,1.42,0.94,1.13,1.03,0.73,0.85,0.78,1.06,1.0,0.98,0.96,1.07
d_1,0.94,1.06,0.98,1.0,1.03,0.94,1.07,0.87,1.22,1.06,1.26,1.01,0.94,0.89,1.05,0.73
b_1,1.06,1.09,0.72,0.97,1.0,1.46,0.99,0.99,0.87,0.99,1.14,0.87,0.84,1.16,1.01,1.19
a_1,0.94,1.15,1.07,1.07,0.68,1.0,1.4,1.25,1.07,1.14,0.97,1.08,1.24,1.18,1.12,1.08
h_1,0.99,1.4,0.89,0.93,1.02,0.73,1.0,1.16,0.98,0.95,0.99,0.89,1.04,1.04,1.09,1.25
g_1,1.02,0.99,0.95,1.17,0.97,0.76,0.86,1.0,0.92,0.97,0.92,1.22,0.92,0.83,1.1,1.07
d_0,0.71,0.99,1.4,0.9,1.11,0.93,1.01,1.06,1.0,1.08,0.78,1.03,1.0,1.16,1.08,1.01
b_0,0.99,0.99,1.15,0.93,1.0,0.86,1.03,0.99,0.92,1.0,0.81,1.03,1.47,1.11,1.0,0.91
c_0,1.06,1.04,1.25,0.77,0.88,1.06,1.01,1.0,1.3,1.26,1.0,1.07,1.03,1.11,1.07,1.01
f_0,0.94,1.13,0.93,0.97,1.14,1.0,1.06,0.82,0.97,0.98,0.95,0.99,1.09,1.08,1.41,0.77
a_0,0.98,1.08,0.95,1.09,1.24,0.92,0.94,1.11,1.05,0.73,0.88,0.89,1.0,1.13,0.9,1.12
h_0,1.0,1.19,1.0,1.08,0.89,0.85,0.98,1.21,0.86,0.89,0.91,0.94,0.93,1.0,0.84,1.12
e_0,1.06,1.22,1.04,0.89,0.96,0.83,0.9,0.84,0.95,1.07,0.98,0.74,1.17,1.2,1.0,1.06
g_0,1.02,0.95,0.93,1.33,0.86,0.89,0.81,0.93,1.01,1.07,0.96,1.26,0.93,0.9,0.93,1.0
