,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.44,0.13,0.07,0.1,0.07,0.04,0.37,0.45,0.36,0.35,0.44,,0.7,0.26,0.29,0.43
e_1,0.07,5.62,0.09,0.08,0.08,0.09,0.31,0.62,0.3,0.45,0.27,0.38,0.5,0.36,,0.59
d_1,0.07,0.08,6.16,0.06,0.07,0.1,0.29,,0.26,0.75,0.43,0.41,0.57,0.55,0.41,0.49
c_1,0.09,0.07,0.08,6.53,0.12,0.09,0.31,0.49,0.18,,0.35,0.47,0.84,0.35,0.31,0.44
b_1,0.09,0.12,0.08,0.09,7.67,0.16,0.31,0.38,0.33,0.27,,0.32,0.48,,,0.55
a_1,0.08,0.07,0.1,0.06,,10.73,0.2,0.46,,0.46,0.36,0.53,0.74,,0.38,0.85
h_1,0.45,0.23,0.35,0.22,0.23,0.31,13.79,1.35,1.72,1.58,1.18,1.05,,1.37,1.75,3.16
d_0,0.54,0.48,,0.9,0.29,0.27,1.31,11.46,0.93,1.45,1.69,1.78,3.05,1.81,2.0,3.62
g_1,0.23,0.22,0.4,0.34,0.34,0.28,0.66,1.34,17.86,1.38,2.02,2.4,1.94,1.38,1.77,
c_0,0.4,0.31,0.32,,0.38,0.25,1.96,1.39,1.44,12.82,3.48,1.83,3.95,2.05,2.15,3.76
b_0,0.23,0.46,0.43,0.31,,0.29,1.77,1.69,1.95,2.03,14.77,2.72,3.64,3.74,2.45,2.14
f_0,,0.36,0.48,0.35,0.65,0.33,1.36,2.24,1.44,1.99,2.09,16.22,2.78,1.77,4.59,2.63
h_0,0.76,0.59,0.44,0.43,0.64,0.8,,3.4,2.04,3.18,3.51,2.5,,3.6,3.77,4.27
a_0,0.41,0.27,0.39,0.41,0.27,,2.28,1.81,1.77,2.05,1.8,2.37,2.4,21.67,,3.24
e_0,0.38,,0.37,0.29,0.37,,2.05,2.86,1.87,2.15,1.8,2.51,3.25,,21.67,3.24
g_0,0.47,0.44,1.02,0.61,0.95,0.52,1.8,2.25,,1.82,3.5,4.9,3.24,3.66,,
