,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,1.02,1.05,1.3,1.13,1.24,0.25,0.2,0.34,0.24,0.21,0.31,0.12,0.22,0.17,0.21
e_1,0.7,0.42,1.3,1.4,1.26,1.21,0.39,0.28,0.39,0.28,0.25,0.37,0.18,0.23,0.18,0.33
d_1,1.38,1.46,0.42,1.13,1.09,0.95,0.29,0.24,0.22,0.4,0.24,0.21,0.17,0.2,0.12,0.21
c_1,1.37,0.96,1.5,0.41,1.16,1.14,0.39,0.35,0.36,0.15,0.27,0.23,0.17,0.23,0.16,0.22
b_1,1.83,1.47,1.22,0.7,0.38,1.28,0.42,0.44,0.39,0.3,0.53,0.29,0.22,0.25,0.22,0.25
a_1,1.64,1.78,1.99,1.72,0.81,0.31,0.47,0.36,0.54,0.41,0.44,0.36,0.28,0.64,0.31,0.4
h_1,2.29,2.02,2.05,2.12,1.93,1.91,0.3,0.4,0.56,0.45,0.49,0.36,0.43,0.4,0.32,0.47
c_0,2.71,2.61,1.4,3.69,2.55,2.21,0.72,0.33,0.63,0.77,0.56,0.48,0.37,0.52,0.34,0.42
g_1,2.6,2.38,2.42,3.27,2.18,1.89,0.53,0.43,0.27,0.5,0.5,0.45,0.25,0.51,0.41,0.53
d_0,2.34,1.44,4.18,2.57,2.72,2.61,0.73,0.48,0.81,0.33,0.51,0.54,0.41,0.48,0.37,0.51
b_0,2.52,2.54,2.34,3.64,3.58,2.34,0.75,0.3,0.73,0.53,0.3,0.52,0.37,0.61,0.37,0.51
f_0,4.69,2.58,2.56,2.68,2.31,2.15,0.85,0.49,0.5,0.52,0.52,0.3,0.38,0.59,0.23,0.51
h_0,2.97,2.9,2.99,2.96,2.75,2.44,1.2,0.58,1.01,0.66,0.58,0.66,0.58,0.61,0.46,0.51
a_0,3.59,2.84,2.88,3.81,3.47,3.29,1.16,0.53,0.74,0.62,0.32,0.56,0.49,0.3,0.46,0.69
g_0,3.17,3.27,3.26,3.15,3.36,2.59,0.66,0.7,1.4,0.66,0.62,0.78,0.39,0.73,0.61,0.64
e_0,4.67,4.92,2.79,3.61,3.64,3.06,0.96,0.61,0.84,0.62,0.74,0.33,0.55,0.74,0.36,0.28
