,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.93,0.44,0.36,0.27,0.33,0.24,0.39,0.33,0.28,0.64,0.42,0.33,0.38,0.28,0.31,0.24
f_1,0.38,0.92,0.65,0.33,0.3,0.2,0.34,0.3,0.4,0.35,0.32,0.2,0.37,0.22,0.3,0.14
e_1,0.37,0.44,0.92,0.41,0.35,0.23,0.37,0.31,0.61,0.35,0.35,0.28,0.33,0.23,0.27,0.16
c_1,0.41,0.37,0.37,0.91,0.59,0.22,0.36,0.32,0.35,0.22,0.23,0.34,0.36,0.24,0.29,0.2
b_1,0.41,0.41,0.41,0.36,0.9,0.44,0.33,0.27,0.35,0.33,0.25,0.29,0.32,0.22,0.31,0.21
a_1,0.47,0.38,0.39,0.38,0.33,0.9,0.4,0.31,0.37,0.36,0.36,0.3,0.4,0.19,0.32,0.25
h_1,0.49,0.58,0.44,0.38,0.32,0.2,0.65,0.44,0.33,0.38,0.3,0.27,0.28,0.25,0.35,0.22
g_1,0.62,0.41,0.39,0.37,0.33,0.22,0.35,0.64,0.34,0.43,0.35,0.44,0.38,0.25,0.23,0.28
d_0,0.35,0.47,0.43,0.67,0.37,0.21,0.38,0.32,0.55,0.3,0.35,0.28,0.38,0.22,0.29,0.23
c_0,0.52,0.54,0.41,0.31,0.28,0.24,0.45,0.34,0.39,0.56,0.64,0.32,0.42,0.34,0.34,0.3
b_0,0.54,0.5,0.42,0.39,0.24,0.21,0.41,0.35,0.35,0.38,0.56,0.32,0.39,0.47,0.37,0.23
f_0,0.48,0.43,0.39,0.37,0.35,0.29,0.41,0.32,0.4,0.42,0.39,0.54,0.37,0.29,0.33,0.48
h_0,0.51,0.59,0.47,0.36,0.32,0.21,0.26,0.4,0.35,0.37,0.42,0.32,0.34,0.26,0.39,0.21
a_0,0.47,0.54,0.42,0.44,0.37,0.14,0.42,0.35,0.43,0.4,0.41,0.32,0.43,0.49,0.34,0.23
g_0,0.63,0.42,0.4,0.37,0.36,0.26,0.37,0.25,0.34,0.4,0.4,0.47,0.37,0.29,0.3,0.28
e_0,0.49,0.52,0.43,0.37,0.37,0.29,0.42,0.37,0.32,0.33,0.39,0.3,0.42,0.28,0.29,0.43
